number,helm,crew,club,R1,R2,R3,R4,R5,Totall,Netto,Place
USA 9106,Mike Martin,Adam Lowry,STFYC,(5.0),1.0,2.0,1.0,2.0,11.0,6.0,1
USA 9160,Howard Hamlin,Russell Clark,ABYC / NHYC,1.0,2.0,(3.0),2.0,3.0,11.0,8.0,2
USA 8715,Ethan Bixby,Chris Brady,SPYC,4.0,(9.0),5.0,6.0,1.0,25.0,16.0,3
USA 8714,Michael Quirk,Reeve Dunne,,6.0,(8.0),1.0,5.0,7.0,27.0,19.0,4
USA 8786,Pierre Jeangirard,Langdon Foley,PVGYC,7.0,5.0,4.0,3.0,(10.0),29.0,19.0,5
USA 9004,Parker Shinn,Eric Anderson,YCYC,(10.0),3.0,7.0,10.0,4.0,34.0,24.0,6
CAN 9216,Robert Tennant,Steve Bourdow,RVICYC,9.0,4.0,6.0,(23.0),5.0,47.0,24.0,7
CAN 8735,Brent Beninger,Martin Hicks,NSC,3.0,11.0,9.0,4.0,(16.0),43.0,27.0,8
CAN 8821,Jeff Boyd,Martin Ten Hove,KYC,8.0,7.0,(11.0),8.0,6.0,40.0,29.0,9
CAN 8192,Philip Cragg,Reto Corfu,RVYC/KYC,2.0,10.0,13.0,7.0,(21.0),53.0,32.0,10
CAN 8866,Cynthia Des Brisay,Charles Hansen,KYC,11.0,(16.0),8.0,9.0,11.0,55.0,39.0,11
USA 7873,Jackson Mccoy,Alex Tong,PMYC,(19.0),12.0,10.0,12.0,8.0,61.0,42.0,12
CAN 8288,Robert Bartlewski,Robert Terbrugge,OHCC,18.0,6.0,17.0,(20.0),14.0,75.0,55.0,13
USA 8083,Martin Tipton,Adam Wolnikowski,YCYC,12.0,15.0,12.0,(18.0),17.0,74.0,56.0,14
CAN 8645,Marg Hurley,Andrew Gesing,NEPEAN SAILING,13.0,18.0,15.0,11.0,(19.0),76.0,57.0,15
CAN 7605,Renka Gesing,Adam Gesing,KYC,15.0,13.0,16.0,(22.0),13.0,79.0,57.0,16
USA 8439,Anne Fitzpatrick,Christian Pittack,CYC,14.0,(22.0),18.0,17.0,12.0,83.0,61.0,17
CAN 9138,Marek Balinski,Peter Hale,OHCC,(20.0),19.0,14.0,15.0,15.0,83.0,63.0,18
CAN 8696,Deborah Ashby,Dave Adams,NSC,17.0,17.0,(21.0),13.0,18.0,86.0,65.0,19
CAN 7776,Shona Moss Lovshin,Stephen Lovshin,NSC,(24.0 DNC),14.0,22.0,21.0,9.0,90.0,66.0,20
CAN 8610,Shona Weldon,Michael Wonnacott,NSC,16.0,21.0,(23.0),16.0,23.0,99.0,76.0,21
CAN 9028,Kyber Lovshin,Devlin Lovshin,NSC,21.0,(23.0),20.0,14.0,22.0,100.0,77.0,22
CAN 8587,Paul Place,Leszek Nowosielski,NSC,(22.0),20.0,19.0,19.0,20.0,100.0,78.0,23
