Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,R9,R10,R11,R12,Total,Boat,Net,Rank
USA,9005,Thomas Kivney,Gordon Russell,NSC,7,6,2,2,3,1,4,5,1,1,8,1,41,Katiebear,26,1st
CAN,8735,Brent Beninger,Martin Hicks,NSC,4,3,3,8,7,6,6,9,2,2,1,2,53,Spaghetti Factory,36,2nd
CAN,8696,Debbie Ashby,David Adams,NSC,8,5,5,7,2,4,1,2,5,5,4,3,51,Loose Unit,36,3rd
CAN,6910,John Bryant,Ron Hughes,NSC,1,4,9,1,4,3,2,3,7,3,9,13.00 DNF,59,Toil & Trouble,37,4th
CAN,9028,Kyber Lovshin,,NSC,6,2,4,9,1,2,13.00 DNS,1,3,7,5,7,60,Shut up and hold on,38,5th
CAN,89*,Marie Gendron,,NSC,2,8,1,4,10,9,13.00 DNS,6,4,8,3,6,74,no name,51,6th
CAN,9138,Marek Balinski,Sean Wylie,OHCC,11,1,8,5,9,5,8,8,9,4,6,4,78,Plastic Surgery Disaster,58,7th
CAN,8645,Marg Hurley,,NSC,3,7,7,11,5,10,9,4,8,9,7,5,85,Green With Envy,64,8th
CAN,7605,Renka Gesing,Adam Gesing,KYC,12,9,11,6,8,11,3,7,6,6,13.00 DNF,13.00 DNS,105,Gesing 505,79,9th
CAN,8410,Clarissa Bush,,NSC,5,12,6,3,6,8,5,10,13.00 DNS,13.00 DNS,13.00 DNS,13.00 DNS,107,Bandersnatch,81,10th
CAN,8587,Paul Place,Samuel Place,NSC,9,10,10,10,11,7,7,11,10,10,2,8,105,The Pink Panther Strikes Again,83,11th
CAN,8368,Jacob Livingstone,Justin Przeworski,NSC,10,11,12,12,12,12,10,12,13.00 DNF,11,13.00 DNS,13.00 DNS,141,Suasion V,115,12th
