Nation,SailNo,HelmName,,Club,Race 3 June 15,Race 4 June 16,Race 5 June 16,Race 6 June 16,Race 7 June 16,Boat,Total,Net,Rank
CAN,6910,John Bryant,,NSC,1,1,1,1,(3.00),Toil & Trouble,7,4,1st
CAN,8735,Brent Beninger,,NSC,(3.00),2,3,3,1,Spaghetti Factory,12,9,2nd
CAN,8600,Marie Gendron,,NSC,(4.00),3,2,2,2,Mysteri,13,9,3rd
CAN,7776,Kyber Lovshin,,NSC,2,(4.00),4,4,4,Shut up and hold on,18,14,4th
CAN,9138,"Balinski,Marek",,NSC,(5.00),5,5,5,5,Plastic Surgeru Disaster,25,20,5th
CAN,8587,Paul Place,,NSC,6,(7.00 DNC),7.00 DNC,7.00 DNC,7.00 DNC,The Pink Panther Strikes Again,34,27,6th
