SailNo,Helm,Crew,Club,W1,W2,W3,W4,W5,W6,Sum,Rank
POL 8812,Sławomir Plichta,Paweł Prus,YK Stal Gdynia,1,(6),1,3,2,1,8,1
POL 8802,Dominik Ostrowski,Jakub Folczak,SWOS Warszawa,(3),1,2,1,3,3,10,2
POL 8497,Jan Sibilski,Michał Prończuk,ŻLKS Poznań,2,2,5,7,6,(10),22,3
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Żeglarskie Szczecin,5,3,3,(14 OCS),5,9,25,4
POŁ 8736,Adam Kuczyński,Andrzej Borowiak,ŹLKS Poznań,8,(14 DNC),8,2,1,8,27,5
POL 8212,Dariusz Konopczak,Piotr Kosobucki,Dobra Marina Szczocm,4,(7),6,5,7,7,29,6
POL 8483,Łukasz Paszko,Piotr Duma,UKS Kałębie Osieck,9,4,4,4,10,(11),31,7
GBR 8028,Anna Zabłocka,Bartosz Kowalczyk,ŻLKS Poznań,7,(9),9,6,8,5,35,8
POL 8582,Jakub Kozanko,Michał Wdówka,,6,8,10,8,(14 OCS),4,36,9
POL 7237,Mariusz Świstelnicki,Kamil Świstelnicki,Centrum Żeglarskie Szczecin,(14 OCS),5,7,14 DNC,14 RET,2,42,10
POL 8751,Wojciech Kasprzyk,Paweł Henszke,Centrum Żeglarskie Szczecin,10,10,11,9,9,(12),49,11
POL 8437,Szymon Kabała,Kacper Kaczmarek,AZS Poznań,(14 RET),14 DNC,14 DNC,14 DNC,4,6,52,12
POL 8217,Norbert Kiderys,Wojciech Denderski,PKS 505,11,(14 DNF),14 RET,14 DNF,14 DNC,14 RET,67,13
