#,helm,crew,club,r1,r2,r3,r4,r5,r6,sum,place
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,1,6*,4,1,1,8,1
POL 8812,Sławomir Plichta,Paweł Prus,YKP Stal Gdynia,3,9*,1,1,3,5,13,2
POL 9132,Jarosław Grabowski,Michał Olko,YKP Stal Gdynia,2,2,4,3,4*,2,13,3
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,6,5,8,2,6,9*,27,4
POL 8736,Adam Kuczyński,Andrzej Borowiak,2MKS Poznań,5,4,7,6,8*,7,29,5
POL 8497,Ewa Pawlaczyk,Michał Prończuk,JKW Poznań ZLKS Pozr>3ń,7,3,2,9,13*,10,31,6
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Żeglarskie Szczecrn,9,8,5,5,11*,4,31,7
POL 8802,Dominik Ostrowski,Jakub Folczak,SWOS Warszawa,DNS*,13,3,8,5,3,32,8
POL 8909,Jan Domański,Jan Świderski,KPMG,10,10,10*,7,2,8,37,9
POL 8437,Dominik Pawłowski,Kacper Kaczmarek,AZS Poznań,4,6,14*,13,9,6,38,10
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynt3,8,7,11,17*,7,11,44,11
POL 8212,Dariusz Konopczak,Piotr Kosobucki,Dobra Marina Szczecin,11,DNF*,9,11,10,12,53,12
POL 8028,Anna Zabłocka,Bartosz Kowalczyk,ZLKS Poznań,17*,12,12,10,16,13,63,13
POL 8358,Maciej Goździk,Przemysław Iwanek,PSK 505,13,11,16,12,DNF*,17,69,14
POL 8751,Wojciech Kasprzyk,Paweł Henszke,Centrum Żeglarskie Szczecin,14,14,17,15,12,DNF*,72,15
POL 8217,Wojciech Denderski,Norbert Kiderys,PSK 505,18,DNF*,15,14,14,14,75,16
POL 8477,Jerzy Polewa,Leszek Bobrowicz,PSK 505,15,16,19*,16,15,16,78,17
POL 9015,Igor Graczyk,Maciej Graczyk,MZKS Poznań,12,15,13,19,DNF,DNF*,81,18
POL 8398,Krzysztof Huptyś,Tomasz Korda,PSK 505,16,18,18,20*,19,15,86,19
POL 8359,Tomasz Polikowski,Adam Najmowicz,Eurobank Sailng Team,DNS*,17,DNF,18,18,19,94,20
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal Gdynia,DNS*,DNS,DNS,DNS,17,19,102,21
