Main,sail number,Skipper name,Crew 1 name,Club,Race 1,Race 2,Race 3,Boat name,Total,Nett,Rank
USA,8856,Ethan Bixby,Cameron Laing,Other,1,1,4,Science Project,6,6,1st
CAN,8696,Debbie Ashby,Dave Adams,Nepean SC,2,3,2,Loose Unit,7,7,2nd
CAN,138*,Christian Voyer,Luke Strickland,Nepean SC,3,2,3,Gowabunga,8,8,3rd
CAN,8735,Brent Beninger,Alex Taylor,Nepean SC,4,7,1,Spaghetti Factory,12,12,4th
CAN,8442,Thomas Adolph,Steven Adolph,Nepean SC,5,8,5,MWP,18,18,5th
CAN,8587,Paul Place,Rae-Anne Norwood,Nepean SC,7,6,6,The Pink Panther Strikes Again,19,19,6th
CAN,920*,Marie Gendron,David Browne,Nepean SC,6,4,17 DNS,Mistery,27,27,7th
CAN,8753,Conor Morrison,Drake Morrison,Other,11,11,7,Road Trip,29,29,8th
CAN,8468,Malcolm MacGillivray,Jonathon Tremblay,Britannia YC,17 DNC,5,8,Double Dragon,30,30,9th
CAN,7605,Andrew Gesing,Adam Gesing,Nepean SC,9,14,9, ,32,32,10th
CAN,8610,Joel Voyer,Siqi Zhang,Nepean SC,8,9,17 RET,Plane Chaos,34,34,11th
CAN,8645,Marg Hurley,Rob Voyer,Nepean SC,10,15,11,Green with Envy,36,36,12th
USA,7773,Thomas Storer,Nathaniel Storer,Nepean SC,13,13,10,Nattom Bomb,36,36,13th
USA,5*,Brodie Sorenson,Liam Downes,Britannia YC,14,12,12, ,38,38,14th
CAN,6910,Chris Edwards,John Bryant,Nepean SC,12,10,17 DNC,Toil and Trouble,39,39,15th
CAN,8410,Clarissa Bush,Chris Gillies,Nepean SC,17 DNC,17 DNC,17 DNC,Bandersnatch,51,51,16th
