Country,SailNo,Helm,Crew 1,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat,Total,Nett,Rank
CAN,8696,Deb Ashby,Dave Adams,Nepean SC,8,[10],1,1,2,6,1,Loose Unit,29,19,1
CAN,9028,Shona Moss Lovshin,Stephen Lovshin,Nepean SC,2,3,8,[12],1,2,3,,31,19,2
CAN,138*,Luke Strickland,Christian Voyer,Nepean SC,3,1,3,2,5,5,[6],Gowabunga,25,19,3
CAN,8442,Matt Davidge,Stephen Adolph,Nepean SC,[11],8,6,9,3,1,2,MWP,40,29,4
CAN,920*,Marie Gendron,David Browne,Nepean SC,5,13,10,3,4,3,[18 DNC],Mystery,56,38,5
CAN,8587,Paul Place,Rae-Anne Norwood,Nepean SC,9,9,12,5,6,4,[18 DNF],The Pink Panther Strikes Again,63,45,6
CAN,8821,Jeff Boyd,Martin ten Hove,Kingston Yacht Club,1,5,5,4,[18 DNC],18 DNC,18 DNC,Grace too,69,51,7
CAN,8735,Brent Beninger,Alex Taylor,Nepean SC,6,4,7,10,7,[18 DNF],18 DNC,Spaghetti Factory,70,52,8
USA,8841,Ali Meller,Andrew Gesing,Kingston Yacht Club,7,2,2,6,[18 DNC],18 DNF,18 DNC,Swagman,71,53,9
CAN,8410,Evania Lovshin,Cameron Laing,BYC and NSC,10,11,4,8,[18 DNC],18 DNF,4,,73,55,10
CAN,7606,Robert Bartlewski,Kazik Bartlewski,OHCC,4,6,9,7,[18 DNS],18 DNC,18 DNC,Kraken,80,62,11
CAN,9138,Marek Balinski,Emmett Austin,OHCC,12,7,11,11,9,[18 DNC],18 DNC,,86,68,12
CAN,7609,Conor Morrison,Drake Morrison,OHCC,14,14,13,13,8,7,[18 DNF],Road Trip,87,69,13
CAN,5*,,,,[18 DNC],18 DNC,18 DNC,18 DNC,18 DNC,18 DNF,5,,113,95,14
CAN,7773,Michele Loewen,Nathaniel Storer,Nepean SC,13,12,[18 DNC],18 DNC,18 DNC,18 DNC,18 DNC,Noxious Philodendron,115,97,15
CAN,6910,Chris Edwards,Steve Rycroft,Nepean SC,[18 DNC],15,14,14,18 DNC,18 DNC,18 DNC,Toil & Trouble,115,97,16
CAN,7505,Adam Gesing,Emma Dale,Kingston Yacht Club,[18 DNC],18 DNC,18 DNC,18 DNC,18 DNC,18 DNC,18 DNC,,126,108,17
