Nation,Sail Number,Sailors,Nat,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Nett,Rank
CAN,8866,Cynthia des Brisay,Charles Hansen,KYC,[2],1,2,1,2,1,1,10,8,1
CAN,8763,Brian Trainor,Brendan Trainor,KYC,1,[2],1,2,1,2,2,11,9,2
CAN,8263,Fred Grimm,,KYC,[4 DNC],4 DNC,4 DNC,4 DNC,3,3,3,25,21,3
