Country,Boat no,Helm,Crew,Club,Race 1,Points,Place
FRA,7734,Francis Macheboeuf,Pignadel,,,10,1
FRA,7501,Hervé Wattine,Louis-Michel Ces,,,13,2
SUI,7389,Werner Muller,Roger Fischer,,,20,3
GER,7860,Christof Becker,Tim Böger,,,"30,4",4
FRA,710*,Bernard Moret,René Morch,,,33,5
GER,7219,Klaus Stammerjohann,Paschke,,,36,6
SUI,6685,Markus Gericke,Ebbecke,,,"39,7",7
FRA,5*,Herve Vachee,Pat Feuerstein,,,"52,7",8
FRA,6585,Jean-Marc Bondier,Rene Lagree,,,55,9
