,Sail No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Position
GBR,8429,Rob Napier,Kimball Morrison,,1,2,1,,3,,1
GBR,8381,S. Adams,A. Wood,,2,1,,,2,,2
GBR,8555,David Smithwhite,Rob Sutherland,,,4,,,1,,3
GBR,8592,Paul Lovesy,Andy Williams,,,3,,1,,,?
GBR,8525,Vic Stopp,Julian Pearson,,,5,,,,,?
GBR,8591,Anne Cave-Penny,Richard Cave-Penny,,,,,5,,,?
GBR,8490,James Baxter,Phillip Baxter,,,,,,4,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
GBR,,,,,,,,,,,?
