Boat,Helm,Crew,Club,points,R1,R2,R3,R4,R5,netto,place
GER 9071,Wolgang Hunger,Julian Kleiner,KYC,5,(1),1,1,1,1,4,1
GER 8806,Lutz Stengel,Frank Feller,ROYC,29,2,3,2,2,(20) DNS,9,2
GER 9070,Stefan Koechlin,Thomas Jung,,25,4,2,4,(11),4,14,3
HKG 9055,Andreas Jungclaus,Thomas Tschentscher,HSC,22,(7),5,5,3,2,15,4
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,21,5,(6),3,4,3,15,5
GER 8775,Jan Sell,Wiebke Gewinn,SVWS,34,3,(10),6,7,8,24,6
GER 8875,Jürgen Anton,,HSC,43,(19),4,8,5,7,24,7
GER 8929,Thomas Gosch,Antje Gosch,ENSFR,46,6,9,(20) DNF,6,5,26,8
GER 8903,Steve Kwee,Thorsten Spötter,HSC,37,(8),8,7,8,6,29,9
GER 8533,Roger Bussenius,Robert Bussenius,SCOH,55,9,(13),11,9,13,42,10
GER 8932,Christian Henge,Katja Henge,OSG,59,(15),14,9,12,9,44,11
GER 8730,Iris Anton,Bruno Laudage,HSC,59,11,12,(15),10,11,44,12
GER 8664,Nicholas Melzwig,Michaela Melzwig,LRV,61,12,11,(14),14,10,47,13
GER 8317,Christina Burger,Sebastian Munck,ZSK,65,(16),7,13,15,14,49,14
GER 8392,Konrad Barop,Georg Mittermayer,NSV,73,10,16,10,17,(20) DNS,53,15
GER 8654,Philipp Müller,Johannes Keil,SGAM,73,14,(19),12,16,12,54,16
GER 8522,Henning Oberbeck,Simon Blessing,HSC,80,13,17,16,(19),15,61,17
GER 8999,Karsten Stümpel,John Christiansen,HSC,82,18,15,(20) DNF,13,16,62,18
GER 8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,87,17,(18),17,18,17,69,19
