SAIL,NUMBER,Helm,Crew,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,BOAT NAME,TOTAL,NET,Place
USA,9160,Howard Hamlin,Andrew Zinn,ABYC / NHYC,3,2,2,2,3,1,3,1,2,3,[4],[7],One of Five,33,22,1
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC,[8],1,1,4,[5],2,5,3,3,2,2,3,,39,26,2
USA,9106,Mike Martin,Adam Lowry,StFYC/ NHYC,2,4,4,1,1,5,4,[RET - 28],1,[8],1,4,Mike's Boat,63,27,3
USA,9240,A.J. Conrads,John Bell,Tahoe,1,[7],5,[9],2,4,1,2,5,1,7,2,Eileen,46,30,4
USA,9153,Jordan Janov,Grant Janov,CYC,[9],[10],7,6,4,3,9,5,6,4,3,1,,67,48,5
USA,9248,Eric Anderson,Andy Beeckman,St.FYC / NHYC,4,3,3,7,[14],7,7,6,4,6,[12],6,N = 2,79,53,6
USA,9165,Pete Spaulding,Shane Illidge,PSC,11,8,[12],[14],8,6,2,AVG - 8.7,AVG - 8.7,AVG - 8.7,AVG - 8.7,AVG - 8.7,,104.5,78.5,7
USA,8829,Courtney Starks,Miles Johannessen,Penn Cove Yacht Club,5,9,[13],[15],6,9,11,13,10,5,8,5,,109,81,8
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz YC,6,5,14,3,[17],10,12,4,7,7,15,[16],Miracle,116,83,9
USA,8939,Clark Hayes,Eric Schwab,CYC,10,6,9,10,[23],8,10,11,[12],9,9,12,,129,94,10
USA,9142,Douglas Hagan,Paul VonGrey,PCYC,12,[15],8,5,7,11,6,8,14,14,10,[DNF - 28],Panic,138,95,11
USA,9091,Ted Conrads,Reeve Dunne,Tahoe,13,11,6,12,13,12,[17],7,8,[15],13,9,,136,104,12
USA,9168,Kevin Taugher,Nick Kofski,ABYC,7,12,11,16,10,14,8,9,[DNF - 28],[18],14,10,,157,111,13
USA,8576,Mike Punnett,Don Smith,PCYC,15,13,[18],[17],16,17,13,12,13,13,6,8,,161,126,14
USA,9208,Elsa Balton,Blaine Pedlow,CBC / StFYC,[23],17,10,13,11,[19],19,10,9,10,18,11,Sendy Cindy,170,128,15
USA,8937,Tim Murphy,Richard Mundell,US Sailing,14,14,15,8,[20],[18],16,14,17,12,11,15,,174,136,16
USA,9095,Macy Nelson,Nat Barton,West River Sailing Club,16,16,16,[19],12,15,15,15,11,[21],16,14,Highway 95 Revisited,186,146,17
USA,7*,Pierre Jeangirard,Ryan Aubry,PCYC,20,TLE - 26,[DNS - 28],11,19,13,14,17,[DNF - 28],11,5,13,Dance Monkey,205,149,18
USA,9083,Rob Waterman,Aaron Ross,ABYC,17,21,[DNS - 28],20,9,16,20,18,15,17,17,[DNS - 28],Cosmic Thing,226,170,19
USA,8411,Nathan De Vries,Jack Groves,Encinal Yacht Club,18,18,17,18,18,[21],[22],16,18,16,21,17,Boogie,220,177,20
CAN,8763,Brian Trainor,Brendan Trainor,Kitsilano YC,21,20,19,[22],15,[22],21,19,22,19,19,20,Kryptonite,239,195,21
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,19,19,20,[24],[24],23,24,20,16,23,22,18,Rocket Surgery,252,204,22
USA,9227,Anne Fitzpatrick,Chris Pittack,PCYC,22,22,21,[25],22,[24],23,21,21,20,23,19,Touch of Grey,263,214,23
USA,916*,Heather Condon,Jeff Condon,NHYC,25,25,[DNS - 28],21,21,20,18,22,19,24,20,[DNS - 28],,271,215,24
USA,7875,Ian O'Leary,Declan O'Leary,ACSC,24,23,22,23,25,[26],25,23,20,22,24,[DNS - 28],O’Leary Construction,285,231,25
USA,1*,Alexis Preel,Patrick Weaver,Berkeley,27,24,TLE - 24,26,26,27,27,24,[DNS - 28],25,25,[DNF - 28],,311,255,26
USA,7152,Tim Steele,Matthew Nelson,CRA,26,TLE - 26,23,27,27,25,26,[DNF - 28],23,[DNC - 28],DNC - 28,DNC - 28,,315,259,27
