Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Points,Place
ITA,8916,Ciferri Enrico,Natali Gabriele,-UNIONE SPORTIVA QUARTO,1,1,2,1
ITA,8743,Giraldi Marco,Corbellini Paolo,-U V MACCAGNO,3,2,5,2
ITA,8944,Manzi Luca,Annese Alfredo,-YACHT CLUB ITALIANO,5,3,8,3
DEN,8826,Boyland Tom,Christiansen Mads,- DANIMARCA,4,4,8,4
GER,8693,Doisenbenger Michael,Lautenschlager Ilarian,DTYC - GERMANIA,2,DNF,10,5
ITA,8671,Loce Roberto,Frattini Marco,-ASS.VELICA NORD OVEST,6,5,11,6
FRA,8515,Niddam Yves,Gresle Thierri,YCB- FRANCIA,7,6,13,7
