SAIL,NUMBER,SAILORS,,CLUB/ORG,R1,R2,R3,R4,R5,BOAT NAME,TOTAL,NET,
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz Yacht Club,1,1,[2],1,1,IO Integration,6,4,1
USA,9160,Howard Hamlin,Steve Bourdow/Caleb Paine,ABYC / NHYC,2,2,1,2,[3],None,10,7,2
USA,8576,Mike Punnett,Rich Mundell,SISA,[6],3,3,5,2,Phoenix,19,13,3
USA,9073,Bruce Edwards,Blaine Pedlow,StFYC,3,[5],5,3,5,No Quarter,21,16,4
USA,9106,Michael Martin,Mike Smith,StFYC / NHYC,4,4,[6],4,4,Riley's Boat,22,16,5
USA,8753,Ryan Nelson,Mike Bishop,ACSC/EYC,5,7,4,[DNC - 8],6,Rogue One,30,22,6
USA,7877,Steve Anderes,Nathan de Vries,IYC,[7],6,7,6,7,Spaceman Spiff,33,26,7
