Nation,SailNo,HelmName,CrewName,,R1,R2,R3,R4,R5,R6,R7,Total,Net,Rank
USA,8786,Luke Ingalls,John Ingalls,,-1,1,1,1,1,1,1,7,6,1st
USA,8930,Duane Delfosse,Mike Hull,,-4,3,3,3,4,4,3,24,20,2nd
IRL,8987,Peter Scannell,John Dunlea,,3,2,-7,2,7,2,6.0 DNF,29,22,3rd
USA,8851,Amy Huebner,Ted Huebner,,2,6,5,4,3,5,(7.0 DNS),32,25,4th
USA,9005,Tom Kivney,Gordon Russell,,6,4,6,-7,6,3,2,34,27,5th
USA,8083,Alex Tong,Adam Wolnikowski,,-7,5,2,5,5,7,4,35,28,6th
USA,9186,Keith Longson,Ted Bjerregaard,,5,-7,4,6,2,6,5,35,28,7th
