SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,R9,BOAT NAME,TOTAL,NET,
USA,9072,Eric Anderson,Stuart McNay,StFYC,2,1,1,2,1,1,1,2,[3],Mike's Good Graces,14,11,1
USA,916*,Howard Hamlin,Jeff Nelson,NHYC/ABYC,1,2,[3],1,3,2,2,3,1,None,18,15,2
USA,9106,Michael Martin,Reeve Dunne,StFYC/NHYC,[4],4,2,3,2,3,3,1,2,"Boat (She,Her, Hers)",24,20,3
USA,7200,Ali Meller,Mike Smith,International 505 Class,[5],3,5,4,4,4,4,4,4,Time Is on My Side,37,32,4
USA,9083,Aaron Ross,Rob Waterman,SCYC,3,[5],4,5,5,5,5,5,5,Rob's Olde Boat,42,37,5
USA,8753,Ryan Nelson,Mike Bishop,ACSC/EYC,[7],7,6,6,6,6,6,6,6,Rogue One,56,49,6
USA,7875,Steve Anderes,Nathan De Vries,IYC,6,6,[DNF - 8],7,7,7,7,7,7,Spiff Returns,62,54,7
