Pos,Sail,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Boat,Total,Pos
USA,9072,Mike Holt,,Santa Cruz,1,2,[4],2,2,4,1,2,3,1,IO Integration,18,1
USA,9106,Mike Martin,,StFYC NHYC,3,1,[6],1,1,3,2,3,2,3,Mike's Boat,19,2
USA,9160,Howard Hamlin,,ABYC / NHYC,2,4,2,[6],3,1,4,1,5,2,,24,3
USA,8714,Mike Zani,,Common Fence Point Dinghy Club,[4],3,1,3,4,2,3,4,1,4,,25,4
USA,9172,Paul Scoffin,,MBYC,8,5,7,4,7,7,5,5,4,[20/DNS],Tamaki,52,5
USA,9095,G Nelson,,West River,5,8,3,5,5,[10],8,8,8,6,Highway 95 Revisited,56,6
USA,8951,David Kirkpatrick,,David Kirkpatrick,7,7,9,7,6,5,10,10,6,[11],Toxic Masculinity,67T,7
USA,8930,Duane Delfosse,,Lsyc,9,6,8,9,9,[11],7,7,7,5,,67T,8
USA,8937,Tim Murphy,,None,6,[11],5,10,11,9,6,6,10,8,,71,9
USA,8883,Ben Komar,,WRSC,[20/DNF],12,13,20/DNF,8,8,11,11,9,7,Jane's Addiction,99,10
USA,9173,Travis Tucker,,LNYC,11,13,12,8,12,14,14,[20/DNF],12,9,Norfolk's Given,105,11
USA,8643,Barney Harris,,PRSA & WRSC,13,10,10,12,10,12,12,9,[20/DNF],20/DNS,10% for the Big Guy,108,12
USA,90951,Rob Hoffman,,Wryc,12,[20/DNF],14,13,13,20/DNS,15,14,11,10,,122T,13
USA,8857,Brendan Connell,,West River Sailing Club,14,14,11,11,14,13,13,12,[20/DNF],20/DNS,,122T,14
CAN,8264,Peter Hale,,Outer Harbour Centreboard Club,10,9,[20/DNS],20/DNS,20/DNS,6,9,13,20/DNF,20/DNS,Spongeworthy,127,15
USA,9004,Eric Anderson,,StFYC/YCYC,[20/DNC],20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,N = 1,180T,16
USA,9183,Matthew Breton,,WRSC,[20/DNC],20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,Anbu B Team,180T,16
IRL,8987,Peter Scannell,,Monkstown Bay Sailing Club,[20/DNC],20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,Lookadatla,180T,16
CAN,8850,Douglas Watson,,Outer Harbour Centreboard Club,[20/DNC],20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,20/DNC,Dr. Crash,180T,16
