Nation,Sail #,Skipper,,Club,R1,R2,R3,R4,Total,Boat Name,Score,Place
USA,8939,Clark Hayes,,CYC,1,2,1,3,7,East Coast 30,7,1st
USA,8823,Mats Elf,,CYC,2,8,3,4,17,Good Times :-),17,2nd
USA,7153,Colin Dunphy,,CYC,6,9,4,2,21,Crunchy Vegetables,21,3rd
USA,8792,Alyosha Strum-Palerm,,SYC,8,1,DSQ (13.0),1,23,Yellow Jacket,23,4th
USA,8967,Miles Johannessen,,CBC,3,3,DSQ (13.0),6,25,Ten Tenths,25,5th
USA,8931 Blue,Ian Reeves,, ,9,4,2,DNC (12.0),27,PEG,27,6th
USA,8824,Gavin Brackett,,OIYC,5,5,DSQ (13.0),8,31,Black Betty,31,7th
USA,8439,Anne Fitzpatrick,,CYC,7,6,DSQ (13.0),5,31,Yes Dear!,31,8th
USA,8931,Elsa Balton,,CBC,4,10,DSQ (13.0),7,34,Serenity Now!,34,9th
USA,8617,Lena Captain,,SYC,11,11,5,9,36, ,36,10th
USA,8631,Andrea Reiter,,BYC,10,7,DSQ (13.0),10,40,FB Incoginto,40,11th
USA,7610,John Seezer,,CYC,12,12,DSQ (13.0),DNC (12.0),49,Bugbear,49,12th
