Nation,Sail NO,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Pos
USA,9007,Matthew Barry,,,2,2,1,2,1,[4],8,1
USA,8965,Mike Zani,Jonathan Farrarr,,3,1,2,1,[5],3,10,2
USA,9005,Thomas Kivney,Gordon Russell,,4,3,[5],4,3,1,15,3
USA,8951,David Kirkpatrick,Sol Molinari,,5,4,3,[7],2,5,19,4
IRL,8987,Peter Scannell,John Dunlea,,6,7,[10/DNS],3,6,2,24,5
USA,8786,Luke Ingalls,John Ingalls,,1,5,4,[10/DNS],10/DNS,10/DNS,30,6
USA,9186,Keith Longson,Ted Bjerregaard,,[10/DNF],8,6,6,4,7,31T,7
USA,8930,Duane Delfosse,Mike Hull,,[7],6,7,5,7,6,31T,8
USA,9183,Michael Breton,Matthew Breton,,8,[10/DNF],10/DNS,8,8,10/DNS,44,9
