Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
CAN,8264,Jeff Boyd,Peter Wood,,,,,,,,,1
CAN,,Hugh Morrin,Michael Hoffman,,,,,,,,,2
CAN,,Kevin Schulz,Phil Barron,,,,,,,,,3
CAN,8417,Malcolm McHattie,Ireen,,,,,,,,,4
CAN,7796,Clarissa Bush,Chris Gillies,,,,,,,,,5
CAN,,Charles Hansen,Penny,,,,,,,,,6
CAN,,Rick Lier,,,,,,,,,,7
CAN,,John Bryant,Ron Hughes,,,,,,,,,8
CAN,,?,Giles Osborne,,,,,,,,,9
CAN,,Howard Mosscroft,,,,,,,,,,10
