Nation,sail no,Skipper,Crew,Club,#,Points,Place
CAN,8264,Boyd,Boyd,,,3.75,1
CAN,8442,Morrin,Yates,,,9.75,2
CAN,7823,Kevin Shulz,Barron,,,19,3
CAN,7605,Renka Gesing,Adam Gesing,,,22,4
CAN,7612,Hansen,Estabrooks,,,25,5
CAN,6910,Hughes,John,,,26,6
CAN,7858,Carol Cote,Hebert,,,27,7
CAN,8417,Malcolm McHattie,Vasseur,,,31,8
CAN,6326,Emond,Moren,,,46,9
CAN,6531,Pierre Ferland,Peloquin,,,51,10
CAN,5866,Bouchard,Tremblay,,,53,11
CAN,5605,Lemeuse,Lalancette,,,58,12
