Country,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,Place
CAN,8260,S.Moss,S.Lovshin,,1,1,1,1,1,-2,-2,1,1,1,6,1
,6498,A.Rootsaert,D.Rootsaert,,2,2,2,2,2,-5,1,2,2,-2,14.8,2
CAN,7458,D.Philips,B.Nelson,,4,(DNF),3,3,3,1,5,3,4,(DNC),25.8,3
,6740,V.Fuchshuber,C.Fuchshuber,,3,5,6,(DNC),-7,3,3,6,5,3,34,4
,4549,B.Rose,J.Goodvin,,5,3,5,4,5,-6,4,5,3,(DNC),34,5
,6493,W.Rootsaert,I.Crypps,,6,4,4,5,4,4,-6,4,(RET),4,35,6
,3965,K.Briggs,T.Briggs,,7,6,7,6,6,DNC,DNC,DNC,(DNC),(DNC),59,7
,39*,R.Herscovitch,K.Reimer,,DNF,DNC,DNF,DNC,DNC,DNC,DNC,DNC,(DNC),(DNC),72,8
