#,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Sum,Rank
POL,9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,1,1,1,2*,1,5,1
POL,8736,Adam Kuczyński,Andrzej Borowiak,ŻMKS Poznań,2,2,3,4,8*,6,16,2
POL,8437,Szymon Kabała,Kacper Kaczmarek,AZS Poznań,3,3,6,15 OCS*,8,2,22,3
POL,9170,Przemek Zagórski,Michał Olko,YC Stal Gdynia,15 DNC*,15 DNC,2,2,1,6,26,4
POL,8493,Mieczysław Szwed,Konrad Plewa,Centrum żeglarskie Szczecin,5,5,4,7,5,8*,26,5
POL,8812,Sławomir Plichta,Paweł Prus,YC Stal Gdynia,15 DNC*,7,9,3,4,4,27,6
POL,8802,Dominik Ostrowski,Jakub Folczak,SWOS Warszawa,4,4,5,7,5,8*,26,7
POL,8909,Jan Domański,Maciej Goździk,KPMG Sailing Team,8,8,15 OCS*,5,3,10,34,8
POL,8582,Jakub Kozanko,Michał Wdówka,,7,6,7,9*,7,7,34,9
POL,8212,Dariusz Konopczak,Piotr Kosobucki,Dobra Marina,6,9,15 RET*,6,9,11,41,10
POL,8483,Mariusz Michalski,Piotr Duma,YC Stal Gdynia,9,10,8,8,11*,9,44,11
GBR,8028,Anna Zabłocka,Bartosz Kowalczyk,ŹLKS Poznań,10,15 RET*,10,10,10,12,52,12
POL,8751,Wojciech Kasprzyk,Paweł Henszke,Centrum Żeglarskie,15 DNC*,15 DNC,11,11,13,14,64,13
POL,9015,Igor Graczyk,Maciej Graczyk,ŹMKS Poznań,15 DNC*,15 DNC,15 DNC,15 RET,12,13,70,14
