Nat,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Nett,,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,Giiamari SP,1,1,1,-2,1,1,7,5,,1st
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,-2,2,2,1,2,2,11,9,,2nd
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,3,3,3,3,3,(7 DNF),22,15,,3rd
FIN,8659,Kira Maisniemi,Matti Dillemuth,Lennart HSK,4,4,(7 DNF),4,4,3,26,19,,4th
BEL,8352,Kari Lehtonen,Timo Vennonen,HSK,(7 DNF),5,7 DNF,5,7 DNF,7 DNS,38,31,,5th
FIN,8466,Hannu Pöyry,Timo Vennonen,Pinkkiviiva VVK,(7 DNC),7 DNC,7 DNC,7 DNC,7 DNC,7 DNC,42,35,,6th
