,Sail,Skipper,+ Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Brutto,Netto,Pos.
USA,8830,Mark Zagol,Andrew Buttner,,1,3,1,1,[6],1,1,1,2,17,11,1
CAN,8264,Jeff Boyd,Scott Ikle,,2,1,2,2,2,3,2,2,[4],20,16,2
CAN,8645,Marg Hurley,Alistair Boyle,,4,2,3,3,1,2,[7],7,1,30,23,3
CAN,8600,Marie Gendron,Jonathan Clark,,[8],6,4,5,4,4,4,4,5,44,36,4
CAN,8610,Shona Weldon,Michael Wonnacott,,6,4,7,4,[8],6,6,5,3,49,41,5
CAN,7605,Renka Gesing,Adam Gesing,,3,5,[8],7,3,5,8,3,8,50,42,6
USA,8194,Thomas Kivney,,,[7],7,6,6,7,7,3,6,7,56,49,7
CAN,8850,Douglas Watson,Gabriel Watson,,5,[8],5,8,5,8,5,8,6,58,50,8
