Country,Boat NO,Helm,Crew,Club,Race 1,Total,Place
SWE,9002,Per Wester,Lars Wester,BKSS,1,1,1
FRA,9014,Alain Dupuis,Gustav Von Sydow,BKSS,2,2,2
SWE,7145,Lars Bååth,Hans Lindh,KSS,3,3,3
SWE,8651,Peter Andersson,Per-Eric Thörnström,SSVÄ,4,4,4
SWE,9117,Fredrik Molander,Tomas Jaxing,LDSS,5,5,5
SWE,8917,Jesper Fowelin,Erik Wallmark,ÖLSS,6,6,6
