,,RESULTS,,,,,,,,,,6,,,,,,,,,
,,505 World Championship,,,Total,Drop,After ,Heat 1,12-Apr,Heat 2,13-Apr,Heat 3,14-Apr,Heat 4,15-Apr,Heat 5,16-Apr,Heat 6,17-Apr,Heat 7,18-Apr
,,Provisional ,,,Points,Points,Drop,Place,Points,Place,Points,Place,Points,Place,Points,Place,Points,Place,Points,Place,Points
1,GBR,8521,P. Towers/D. Johnson,,54.7,16,38.7,10,16,1,0,3,5.7,5,10,5,10,7,13,1,0
2,USA,8266,H. Hamlin/C. Lewis,,73,27,46,2,3,4,8,1,0,21,27,7,13,8,14,4,8
3,GBR,8510,I. Barker/D. Cripps,,80,19,61,12,18,5,10,4,8,1,0,4,8,13,19,11,17
4,AUS,8619,D. Nicholson/C. Nicholson,,110.1,42,68.1,6,11.7,3,5.7,5,10,6,11.7,2,3,20,26,36,42
5,USA,7771,J. Miller/M. Martin,,98,29,69,1,0,13,29,2,3,20,26,14,20,1,0,14,20
6,AUS,8548,H. Stodart/A. Baker,,137,56,81,15,21,2,3,12,18,2,3,22,28,4,8,50,56
7,GBR,8481,J. Robinson/B. Masterman,,112,22,90,8,14,9,15,15,21,4,8,9,15,11,17,16,22
8,GBR,8552,M. Upton-Brown/N. Vooght,,121.4,28,93.4,13,19,19,25,7,13,22,28,13,19,6,11.7,3,5.7
9,AUS,8559,D. Wilsdon/S. Higgins,,127,30,97,20,26,10,16,9,15,11,17,24,30,5,10,7,13
10,AUS,8617,K. Sinclair/G. Searant,,132,27,105,4,8,11,17,16,22,18,24,12,18,10,16,21,27
11,AUS,8395,P. Marsh/W. Soulsby,,141.4,33,108.4,24,30,27,33,25,31,9,15,3,5.7,9,15,6,11.7
12,AUS,8605,S. Burt/A. Hewson,,137,28,109,9,15,21,27,11,17,7,13,17,23,22,28,8,14
13,SWE,8232,E. Rosen/W. Wenrup,,221.4,103,118.4,3,5.7,97,103,6,11.7,17,23,37,43,14,20,9,15
14,SWE ,7343,K. Nilsson/M. Ahrbom,,177.7,50,127.7,23,29,8,14,44,50,39,45,25,31,3,5.7,2,3
15,SWE,8551,D. Scheder-Brieschin/J. Arvedson,,170,39,131,19,25,18,24,10,16,10,16,33,39,12,18,26,32
