16,SWE,8475,K. Bergstrom/M. Westerdahl,,236.4,103,133.4,5,10,6,11.7,97,103,3,5.7,1,0,2,3,97,103
17,AUS,8523,T. Blatchford/P.Hewson,,174,38,136,18,24,24,30,8,14,32,38,18,24,15,21,17,23
18,AUS,8606,G. Lange/N. Rydge,,240,103,137,11,17,20,26,18,24,15,21,8,14,29,35,97,103
19,GBR,8416,I. Montague/G. Kimber,,170,31,139,21,27,25,31,20,26,12,18,11,17,19,25,20,26
20,AUS,8618,J. Field/D. Blatchford,,181,36,145,30,36,12,18,14,20,16,22,19,25,21,27,27,33
21,DEN,8476,J. Saugmann/M. Ramsbaek,,260.7,103,157.7,17,23,??,103,22,28,23,29,6,11.7,16,22,38,44
22,AUS,8499,P. Pearson/M. Higgins,,267,103,164,7,13,22,28,17,23,24,30,34,40,97,103,24,30
23,AUS,8524,P. Meehan/L. Nathanson,,217,52,165,46,52,7,13,31,37,13,19,21,27,45,51,12,18
24,DEN,8498,J. Schoenherr/C. Spence,,203,37,166,14,20,17,23,31,37,30,36,15,21,24,30,30,36
25,DEN,8579,T. Bojland/P. Chritiani,,221,45,176,29,35,26,32,39,45,8,14,10,16,30,36,37,43
26,AUS,8585,C. Jackson/M. Page,,212,36,176,25,31,15,21,23,29,25,31,30,36,23,29,29,35
27,USA,7200,A. Meller/M. Mills,,296,103,193,97,103,32,38,28,34,14,20,38,44,26,32,19,25
28,AUS,8454,J. Pirret/B. Whitbread,,240,45,195,39,45,14,20,34,40,28,34,23,29,38,44,22,28
29,AUS,8274,K. Brown/R. Brown,,249,46,203,28,34,40,46,40,46,36,42,28,34,31,37,5,10
30,AUS,7982,A. Finglass/S. Illidge,,320,103,217,22,28,16,22,97,103,97,103,16,22,17,23,13,19
31,GER,8608,G. Peters/B. Vierth,,271,51,220,45,51,34,40,24,30,40,46,20,26,25,31,41,47
32,AUS,8399,F. Karlovecz/M. Page,,272,52,220,16,22,46,52,37,43,31,37,31,37,34,40,35,41
33,AUS,8588,S. Gorman/B. Hillier ,,329,103,226,37,43,30,36,21,27,44,50,97,103,18,24,40,46
34,AUS,8626,I. Murray/A. Murray,,288,56,232,33,39,37,43,13,19,45,51,50,56,40,46,28,34
35,AUS,8589,R. Machin/P. Grey,,342,103,239,26,32,28,34,97,103,19,25,32,38,53,59,45,51
36,AUS,8603,M. Owen/I. Dunn,,310,60,250,27,33,41,47,43,49,29,35,46,52,28,34,54,60
37,AUS,8041,W. Boyd/D. Colebatch,,304,53,251,32,38,39,45,47,53,34,40,45,51,32,38,33,39
38,AUS,8272,D. Hart/D. Alexander,,357,103,254,63,69,23,29,30,36,52,58,97,103,27,33,23,29
39,GBR,8507,V. Ralston/S. Spratt,,359,103,256,40,46,29,35,29,35,43,49,43,49,36,42,97,103
40,AUS,8338,S. Venes/B. Kelly,,348,83,265,77,83,38,44,36,42,33,39,42,48,46,52,34,40
41,AUS,8396,P. Holden/D. Porter,,373,103,270,31,37,23,103,27,33,97,103,26,32,35,41,18,24
42,AUS,8176,S. Gregory/S. Olsen,,343,72,271,35,41,45,51,66,72,46,52,27,33,39,45,43,49
43,AUS,8512,R. Smith/I. Gibson,,376,103,273,58,64,36,42,26,32,97,103,48,54,37,43,32,38
44,GBR,8483,Ian Robson/A. Palmer,,378,103,275,38,44,35,41,45,51,97,103,56,62,50,56,15,21
45,GBR,8460,M. Goult/C. Russel,,382,103,279,97,103,59,65,42,48,26,32,41,47,44,50,31,37
46,AUS,8289,G. Dawson/J. Mitchell,,357,62,295,50,56,48,54,41,47,56,62,35,41,43,49,42,48
47,RSA,8584,N. Milln/W. Buddenbrock,,369,71,298,47,53,42,48,35,41,41,47,49,55,65,71,48,54
48,RSA,8520,D. Vinnicombe/P Vinnicombe,,371,73,298,42,48,54,60,46,52,54,60,67,73,41,47,25,31
49,FRA,8455,M. Buffet/P. Blanchard,,377,65,312,54,60,58,64,54,60,48,54,59,65,52,58,10,16
50,AUS,8577,Andrew Griffiths/Ben Noble,,390,77,313,71,77,53,59,53,59,27,33,36,42,47,53,61,67
51,RSA,8406,A. Allison/A. Franklin,,385,69,316,44,50,51,57,33,39,47,53,63,69,54,60,51,57
52,GER,8527,B. Kowalrig/V. Ellerbeck,,389,72,317,43,49,33,47,64,70,35,41,40,46,66,72,58,64
53,AUS,8602,M. Finlayson/B. Edwards,,397,79,318,48,54,44,50,60,66,53,59,29,35,48,54,73,79
54,AUS,7741,T. Smith/R. Needham,,442,103,339,51,57,47,53,61,67,58,64,97,103,33,39,53,59
55,AUS,8219,D. Christie/A. Bessell,,408,63,345,53,59,49,55,52,58,57,63,51,57,49,55,55,61
56,AUS,8044,K. Webber/B. Moon,,459,103,356,57,63,76,82,50,56,42,48,97,103,51,57,44,50
57,AUS,8182,Stuart Campbell/Mark Stowell,,432,69,363,62,68,56,62,48,54,62,68,44,50,55,61,63,69
58,GBR,8379,G. Edwards/E. Dyson,,448,79,369,49,55,73,79,56,62,50,56,73,79,59,65,46,52
59,AUS,8601,L. Parker/P. Craig,,475,103,372,36,42,64,70,51,57,49,55,39,45,97,103,97,103
60,AUS,8604,J. Burford/I. Burford,,454,81,373,61,67,75,81,63,69,65,71,54,60,42,48,52,58
61,AUS,8453,S. Brown/J. Whitbread,,455,77,378,41,47,55,61,71,77,69,75,52,58,58,64,67,73
62,AUS,8093,D. Skinner/B. Webb,,462,84,378,56,62,50,56,78,84,38,44,66,72,68,74,64,70
63,AUS,8271,B. Bell/J. Humphries,,450,71,379,64,70,65,71,49,55,60,66,53,59,60,66,57,63
64,AUS,8042,M. Bax/S. Ovendon,,459,79,380,73,79,67,73,38,44,61,67,47,53,69,75,62,68
65,AUS,7405,P. Wilson/E. Wilson,,465,81,384,75,81,61,67,57,63,67,73,60,66,56,62,47,53
66,DEN,8581,B. Sogard/C. Barlebe,,502,103,399,60,66,52,58,55,61,64,70,97,103,62,68,70,76
67,AUS,8558,B. Pease/S. Lebish,,506,103,403,78,84,53,59,69,75,51,57,55,61,61,67,97,103
68,AUS,8557,D. Williams/N. Long,,516,103,413,34,40,33,39,19,25,97,103,97,103,97,103,97,103
69,RSA,8537,Robert Crisp/C.Kitchin,,510,93,417,69,75,69,75,65,71,37,43,72,78,87,93,69,75
70,AUS,8290,B. McInerney/D. Fuller,,506,87,419,81,87,63,69,59,65,73,79,75,81,57,63,56,62
71,AUS,8218,J. Jamieson/P. McDonald,,527,103,424,67,73,62,68,67,73,74,80,58,64,97,103,60,66
72,AUS,8175,M. Hansen/R. Brennan,,512,83,429,70,76,77,83,75,81,70,76,65,71,64,70,49,55
73,AUS,8174,P. Kessell/D. Fitzgibbon,,540,103,437,66,72,85,91,97,103,59,65,69,75,63,69,59,65
74,AUS,7980,A. Gooding/M. Nykel,,526,85,441,72,78,74,80,62,68,79,85,64,70,67,73,66,72
75,AUS,8185,K. Leckenby/E. Alexander,,532,86,446,59,65,57,63,72,78,72,78,78,84,80,86,72,78
76,SWI,7532,A. Zaugg/V. Rothacher,,559,103,456,86,92,71,77,68,74,84,90,97,103,72,78,39,45
77,GBR,8307,M. Wedge/S. Wood,,560,103,457,65,71,60,66,58,64,78,84,97,103,82,88,78,84
78,AUS,7829,Stewart Hooper/Mark Vickers,,544,86,458,55,61,78,84,76,82,75,81,61,67,77,83,80,86
79,AUS,8339,C. Semple/M. Scott,,551,89,462,83,89,66,72,80,86,68,74,68,74,70,76,74,80
80,AUS,8349,I. Murdoch/B. Hare,,551,88,463,76,82,82,88,77,83,55,61,62,68,78,84,79,85
81,AUS,8186,G. Wells/T. Davies,,568,103,465,74,80,68,74,79,85,63,69,71,77,74,80,97,103
82,AUS,7535,M. O'Donnell/C. Davidson,,553.5,85,468.5,79,85,79,85,73,79,66,72,74,80,76,81.5,65,71
83,AUS,8506,M. Eaton/Paul Johnson,,566.5,86,480.5,80,86,80,86,70,76,76,82.5,70,76,73,79,75,81
84,AUS,7334,M. Phillips/M. Lynch,,584,103,481,52,58,88,94,81,87,71,77,76,82,97,103,77,83
85,FRA,8348,J. Bochu/C. Bochu,,575,94,481,88,94,72,78,74,80,81,87,79,85,71,77,68,74
86,AUS,7407,S. Schloss/J. Hart,,592.5,103,489.5,87,93,70,76,82,88,76,82.5,57,63,81,87,97,103
87,AUS,8045,P. Osmond/M. Hunt,,622,103,519,68,74,97,103,83,89,80,86,97,103,79,85,76,82
88,GBR,8525,V. Stopp/J. Prakson,,614.5,95,519.5,89,95,86,92,85,91,85,91,81,87,75,81.5,71,77
89,AUS,8273,J. Sanderson/R. Gorrell,,639,103,536,82,88,81,87,90,96,86,92,77,83,84,90,97,103
90,FRA,8436,G. Carvello/P. Lenorment,,631,95,536,84,90,83,89,84,90,83,89,82,88,89,95,84,90
91,AUS,845,J. Hayley/J. McLean,,638,97,541,91,97,84,90,88,94,82,88,84,90,85,91,82,88
92,AUS,8578,M. Holden/G. Holden,,640,95,545,85,91,89,95,86,92,89,95,80,86,83,89,86,92
93,GBR,8435,P. McGale/A. Nolan,,646.5,95.5,551,90,95.5,87,93,87,93,87,93,83,89,86,92,85,91
94,AUS,6376,S. Vincent/P. Vincent,,662,99,563,93,99,90,96,91,97,90,96,85,91,88,94,83,89
95,AUS,7284,J. Feurerhacke/M. Falk,,694,103,591,93,99,91,97,89,95,88,94,97,103,97,103,97,103
96,HKG,7234,Diamond Tai/T. Pun,,705,103,602,97,103,97,103,97,103,97,103,97,103,97,103,81,87
