SCHEDULE OF EVENTS,,
Australian Championships & Pre-Worlds,,
Monday 1st April,0900 - 1500 hrs,"Registration, measurement and inspection"
Tuesday 2nd April,1400 hrs,Invitation race
Wednesday 3rd April,1400 hrs,Heat 01
Thursday 4th April,1100 hrs,Past Champions Race
 ,1400 hrs,Heat 02
Friday 5th April,1400 hrs,Heat 03
Saturday 6th April, ,Lay day
Sunday 7th April,1400 hrs,Heat 04 (Pre Worlds Heat 01)
Monday 8th April,1400 hrs,Heat 05 (Pre Worlds Heat 02)
Tuesday 9th April,1400 hrs,Heat 06 (Pre Worlds Heat 03)
 ,,
World Championships,,
Wednesday 10th April,0900-1500 hrs,"Registration, measurement and inspection"
Thursday 11th April,0900-1500 hrs,"Registration, measurement and inspection"
Friday 12th April,1400 hrs,World Championship Heat 01
Saturday 13th April,1400 hrs,World Championship Heat 02
Sunday 14th April,1400 hrs,World Championship Heat 03
Monday 15th April,1400 hrs,World Championship Heat 04
Tuesday 16th April,1400 hrs,World Championship Heat 05
Wednesday 17th April,1400 hrs,World Championship Heat 06
Thursday 18th April,1400 hrs,World Championship Heat 07
 ,1900 hrs,Presentation Banquet
