Nation,,Helm,Crew,Club,Race 1,Race 2,Race 3,Total,Place
SWE,8475,Krister Bergstrom,Martin Westerdahl,,1,1,7,9,1
GBR,8510,Ian Barker,Daniel Cripps,,2,3,5,10,2
USA,8266,Howard Hamlin,Cam Lewis,,8,2,9,19,3
SWE,8232,Ebbe Rosen,Olle Wenrup,,6,21,2,29,4
GBR,8552,Mark Upton-Brown,Nigel Vooght,,12,7,6,25,5
AUS,8559,S.Higgins,D. Wilsdon,,11,4,18,33,6
SWE,8551,D.Scheder,Johan Arvedson,,16,20,4,40,7
SWE,7343,Kalle Nilsson,Mikael Ahrbom,,32,9,3,44,8
USA,7771,Jeff Miller,Mike Martin,,3,27,14,44,9
AUS,8548,H.Stodart,A.Baker,,5,13,25,43,10
AUS,8619,Chris Nicholson,Darren Nicholson,,10,15,22,47,11
,,,,,,,,,12
,,,,,,,,,13
,,,,,,,,,14
,,,,,,,,,15
,,,,,,,,,16
,,,,,,,,,17
,,,,,,,,,18
,,,,,,,,,19
,,,,,,,,,20
,,,,,,,,,21
,,,,,,,,,22
,,,,,,,,,23
,,,,,,,,,24
,,,,,,,,,25
,,,,,,,,,26
,,,,,,,,,27
,,,,,,,,,28
,,,,,,,,,29
,,,,,,,,,30
,,,,,,,,,31
,,,,,,,,,32
,,,,,,,,,33
,,,,,,,,,34
,,,,,,,,,35
,,,,,,,,,36
,,,,,,,,,37
,,,,,,,,,38
,,,,,,,,,39
,,,,,,,,,40
,,,,,,,,,41
,,,,,,,,,42
,,,,,,,,,43
,,,,,,,,,44
,,,,,,,,,45
,,,,,,,,,46
,,,,,,,,,47
,,,,,,,,,48
,,,,,,,,,49
,,,,,,,,,50
,,,,,,,,,51
,,,,,,,,,52
,,,,,,,,,53
,,,,,,,,,54
,,,,,,,,,55
,,,,,,,,,56
,,,,,,,,,57
,,,,,,,,,58
,,,,,,,,,59
,,,,,,,,,60
,,,,,,,,,61
,,,,,,,,,62
,,,,,,,,,63
,,,,,,,,,64
,,,,,,,,,65
,,,,,,,,,66
,,,,,,,,,67
,,,,,,,,,68
,,,,,,,,,69
,,,,,,,,,70
,,,,,,,,,71
,,,,,,,,,72
,,,,,,,,,73
,,,,,,,,,74
,,,,,,,,,75
,,,,,,,,,76
,,,,,,,,,77
,,,,,,,,,78
,,,,,,,,,79
,,,,,,,,,80
,,,,,,,,,81
,,,,,,,,,82
,,,,,,,,,83
,,,,,,,,,84
,,,,,,,,,85
,,,,,,,,,86
,,,,,,,,,87
,,,,,,,,,88
,,,,,,,,,89
,,,,,,,,,90
,,,,,,,,,91
,,,,,,,,,92
,,,,,,,,,93
,,,,,,,,,94
,,,,,,,,,95
,,,,,,,,,96
,,,,,,,,,97
,,,,,,,,,98
