,505 World Championship,,,club,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,Total,Drop,After,Place
AUS,8271,B. Bell,John Humphries,,70,71,55,66,59,66,63,450,71,379,63
AUS,8042,Morgan Bax,Scott Ovenden,,79,73,44,67,53,75,68,459,79,380,64
AUS,7405,P. Wilson,Errol Wilson,,81,67,63,73,66,62,53,465,81,384,65
DEN,8581,Birgitte Søgård,Carsten Barlebo,,66,58,61,70,103,68,76,502,103,399,66
AUS,8558,B. Pease,S. Lebish,,84,59,75,57,61,67,103,506,103,403,67
AUS,8557,Dean Williams,Neil Long,,40,39,25,103,103,103,103,516,103,413,68
RSA,8537,Robert Crisp,C.Kitchin,,75,75,71,43,78,93,75,510,93,417,69
AUS,8290,B. McInerney,Dan Fuller,,87,69,65,79,81,63,62,506,87,419,70
AUS,8218,J. Jamieson,P. McDonald,,73,68,73,80,64,103,66,527,103,424,71
AUS,8175,Matthew Hansen,Ross Brennan,,76,83,81,76,71,70,55,512,83,429,72
AUS,8174,P. Kessell,Dan Fitzgibbon,,72,91,103,65,75,69,65,540,103,437,73
AUS,7980,A. Gooding,Mark Nykel,,78,80,68,85,70,73,72,526,85,441,74
AUS,8185,K. Leckenby,Earle Alexander,,65,63,78,78,84,86,78,532,86,446,75
SWI,7532,A. Zaugg,V. Rothacher,,92,77,74,90,103,78,45,559,103,456,76
GBR,8307,Martin Wedge,S. Wood,,71,66,64,84,103,88,84,560,103,457,77
AUS,7829,Stuart Hooper,Mark Vickers,,61,84,82,81,67,83,86,544,86,458,78
AUS,8339,C. Semple,Michael Scott,,89,72,86,74,74,76,80,551,89,462,79
AUS,8349,I. Murdoch,Barry Hare,,82,88,83,61,68,84,85,551,88,463,80
AUS,8186,G. Wells,Tim Davies,,80,74,85,69,77,80,103,568,103,465,81
AUS,7535,M. O'Donnell,Chris Davidson,,85,85,79,72,80,81.5,71,553.5,85,468.5,82
AUS,8506,Michael Eaton,Paul Johnson,,86,86,76,82.5,76,79,81,566.5,86,480.5,83
AUS,7334,M. Phillips,Mark Lynch,,58,94,87,77,82,103,83,584,103,481,84
FRA,8348,Jacques Bochu,Christophe Bochu,,94,78,80,87,85,77,74,575,94,481,85
