Sail Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
SWE 8974,Malin Broberg,Johan Röök,Lerums SegelSällskap,(2),1,2,1,6,4,1
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,1,(2),1,2,6,4,2
DEN 8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,(4),4,3,3,14,10,3
DEN 9128,Nicolai Buhl,Henrik Buhl,Hellerup Sejlklub,3,3,(5),5,16,11,4
DEN 8440,Mads Christiansen,Laust Castor Lund,Aalborg Sejlklub,(7),5,4,4,20,13,5
DEN 8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,(8),6,6,6,26,18,6
DEN 7820,Per Slengerik,Jesper Stig Andersen,Svendborg Sunds Sejlklub,5,7,7,(8),27,19,7
DEN 9109,Hans Genefke,Etienne Bourbeau,Hellerup Sejlklub,6,(8),8,7,29,21,8
DEN 8472,Mads Madsen,Ketil Johansen,Aarhus Sejlklub,(10) DNC,9,9,9,37,27,9
