Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
USA,7685,Graham Alexander,Mark Koenig,,1,1,1,1,-2,1,1,4.5,1
USA,8439,John Dohan,Dave Zetti,,2,2,2,-3,1,2,2,10.75,2
USA,4068,Ki Kaiser,John Badtke,,3,(DNF),3,2,3,4,3,18,3
USA,7790,Dave Stetson,Gris Bettle,,5,3,4,4,4,3,(DNF),23,4
USA,7857,Jim Tuten,Peter Laudrup,,4,4,6,(DNF),5,5,5,29,5
USA,4380,Phil Terman,Susan Badtke,,6,5,5,5,6,-6,4,31,6
USA,2987,Mike Goldstein,Geoff Cashman,,(DNF),6,7,6,7,7,6,39,7
