Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Natto,Place
SUI,8954,Forian Stauffer,Philippe Jacot,CVN,2,2,1,5,5,1
SUI,8613,Laurent Grob,Gilles Petermann,BTCVN,5,1,4,10,10,2
FRA,8270,Claude Gachet,Kleber Valery,Y C GRENOBLE CHARA Y C GRENOBLE CHARA,3,5,3,11,11,3
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,4,11,5,20,20,4
FRA,8508,Aurelie Plouviet,Jean-Marc Jungmann,"C N ST RAPHAEL,C N ST RAPHAEL",6,8,6,20,20,5
GER,8609,Vir Holzapfel,Stefan Worm,PSVK,7,14,2,23,23,6
FRA,8943,Michel Delsemme,Chris Ringdahl,"S N DE ST TROPEZ,S N DE ST TROPEZ",10,10,8,28,28,7
FRA,8353,Eric Verplanken,Alain Tosello,"C VAR MER,O T A MANDELIEU",16,7,7,30,30,8
FRA,8902,Philippe Boite,Fabrice Toupet,"C V ST QUENTIN,C V ST QUENTIN",1,3,"28 DNF",32,32,9
FRA,8348,Mathieu Ingrand,Marie Agnes Catrix,"Y C GRENOBLE CHARA,Y C GRENOBLE CHARA",8,15,13,36,36,10
ITA,8743,Marco Giraldi,Cesare Giogetti,UNION VELICA MACCAGNO,17,6,14,37,37,11
FRA,904*,Philippe Markt,Yves Treboz,"C VAR MER,C VAR MER",18,12,9,39,39,12
FRA,8847,Michel Boiry,Jean Philippe Gastaud,"C V DE PARIS,C N CROISETTE",21,9,12,42,42,13
FRA,8844,Xavier Broise,Nicolas Des Jamonieres,CERGY VOILE  95 C.V.M.L,11,4,"28 DNF",43,43,14
FRA,8896,Christian Martenot,Gilles Carvallo,"C V SEINE PORT,C N HAUTE SEINE",13,13,19,45,45,15
FRA,6245,Lawrence Banahan,Yann Plathier,"C N ST RAPHAEL,S A LYONNAIS",12,19,15,46,46,16
FRA,8402,Frederic Roucayrol,Loic Bleuez,"C VAR MER,C VAR MER",9,"28 OCS",11,48,48,17
FRA,8515,Yves Niddam,Thierry Gresle,"Y C BEAULIEU,Y C BEAULIEU",15,17,17,49,49,18
FRA,7541,Wenceslas Dieuzy,Wojciech Butkiewicz,"C N ALPIN,C N ALPIN",14,18,20,52,52,19
FRA,4664,Denis David,Sebastien Agius,"C VAR MER,C VAR MER",22,16,18,56,56,20
FRA,6182,Ludovic Siguret,Aurelien Ollivier,"C VAR MER,C VAR MER",20,20,16,56,56,21
FRA,8623,Dominique Rouanne,Virginie Laurent,"Y C CAVALAIRE,Y C CAVALAIRE","28 DNF","28 DNF",10,66,66,22
FRA,8002,Jean Philippe Artielle,Virginie Auger,"C VAR MER,C VAR MER",19,"28 DNF","28 DNF",75,75,23
FRA,6015,Jean Gael Monier,Delphine Markt,"C VAR MER,Y C MONACO","28 DNF","28 DNF",21,77,77,24
FRA,4276,Louis Gibert,Edith Castillon,"C VAR MER,C VAR MER","28 DNF","28 DNF",22,78,78,25
FRA,7293,Thibault de Monteil,David De Monteil,Y C GRENOBLE,"28 DNF","28 DNF",23,79,79,26
FRA,8870,Christian Silvestre,Aline Martin,"C V ST QUENTIN,C V SEINE PORT","28 DNF","28 DNF","28 DNF",84,84,NDA
