,,Coureurs / Équipage,,club,Race 1,Race 2,points,place
FRA,8870,Christian Silvestre,Martin Aline,CVSQ,1,1,2,1
FRA,,Blondy Bernard,De Pommery Alain,C V VALENCIENNES,3,3,6,2
FRA,,Daugey Gerard,Rouanne Dominique,CVSQ,5,5,10,3
FRA,8484,Philippe Blanchard,Jourquin Koen,A C D'ALSACE LORRAIN,4,8,12,4
FRA,8844,Broise Xavier,Des Jamonieres Nicolas,CERGY VOILE 95,11,2,13,5
FRA,,Jean-Baptiste Dupont,Legeai Jerome,CV PARIS,6,9,15,6
FRA,8711,Eric Quemard,Victor Antoine,CV PARIS,10,6,16,7
FRA,,Ducros Jean Philippe,Muniglia Thierry,CVML,7,10,17,8
FRA,,Bernadac Laurent,Fernandez Julien,S R VANNES,2,16,18,9
FRA,,Dechauffour Jacques,Dechauffour Sabine,A.N. ILE AUX MOINES,14,4,18,10
FRA,,Jean-Pierre Noclain,Chabaud Roger,C V VALENCIENNES,13,7,20,11
FRA,,Neidhart Elisabeth,Gougeon Matthieu,CVML,8,13,21,12
FRA,,Kopecky Jean-Baptiste,Thomas Chartier,LE TRISKELL,9,12,21,13
FRA,,Derungs Jean-Pierre,Derungs Mathis,CVML,12,11,23,14
FRA,,Gougeon Thierry,Rault Stanislas,CVML,16,17,33,15
FRA,,Boiry Michel,Le Hegouat Yann,CV PARIS,OCS,14,35,16
FRA,,Lapeyre Bertrand,Lozouet Jean-Paul,CVML,OCS,15,36,17
GER,8052,Feuerhawe Jurgen,Nehrenberg Anne,GER,15,DNS,36,18
FRA,,Trotet Julien,Perriau Olivier,C .V. DE PARIS,17,19,36,19
FRA,,Dominique Lambard,Vassort Nicolas,CVML,OCS,18,39,20
