Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Crew Club,points,place
FRA,,Philippe Boite,Toupet Fabrice,CVSQ,1,1,1,1,4,CVSQ,4,1
FRA,,Broise Xavier,Des Jamonieres Nicolas,CERGY VOILE 95,5,2,3,2,2,CVML,9,2
FRA,,Peculier Martin,Gallo Pierre Jean,S N O NANTES,2,7,2,7,1,CVSQ,12,3
FRA,,Guillou Nicolas,Got Guillaume,S N P H,3,8,5,10,5,S N P H,21,4
FRA,,Ferec Alain,Gillot Eric,S N P H,6,3,14,16,3,S N P H,26,5
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,8,DNF,6,4,8,C V SEINE-PORT,26,6
FRA,,François de Lisle,Brillaud Herve,C N FERRET,7,11,10,3,14,C N FERRET,31,7
FRA,,Perrault Patrick,Cornu Francois,C.V.S.A.,4,5,18,15,7,C.V.S.A.,31,8
FRA,,Devaux Mathieu,Dubuc Philippe,S R FECAMP,11,4,7,11,10,S R FECAMP,32,9
FRA,,Gubri Serge,Thibault Di Pede,C V SEINE-PORT,16,6,11,6,11,C V SEINE-PORT,34,10
FRA,,Lafortune Baptiste,Lafortune Julien,C V SEINE-PORT,10,9,4,12,17,C V SEINE-PORT,35,11
FRA,,Silvestre Christian,Vallaud Christian,CVSQ,9,10,15,8,16,CVSQ,42,12
FRA,,Hardouin Elsa,Biecheler-Fiocconi Sophie,S N P H,DNC,DNC,12,5,6,S N P H,49,13
FRA,,Valery Kleber,Auberger Nicolas,YC Grenoble Chara.,15,DNF,9,17,9,YC Grenoble Chara.,50,14
FRA,,Dupont Jean Baptiste,Ancelot Jean Claude,CV PARIS,13,DNF,16,9,13,C N PENESTIN,51,15
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,12,13,23,20,12,WIND 14,57,16
FRA,,Lapeyre Bertrand,Mouclier Emmanuel,CVML,14,12,22,18,19,CVML,63,17
FRA,,Lafortune Come,Lafortune Jordane,C V SEINE-PORT,DNF,DNF,8,14,18,C V SEINE-PORT,66,18
FRA,,Thomas Chartier,Kopecky Jean-Baptiste,C Y V PARELOUP,DNF,DNF,19,24,15,LE TRISKELL,84,19
FRA,,Boiry Michel,Rault Stanislas,CV PARIS,DNF,DNF,21,13,DNF,CVML,86,20
FRA,,Noclain Jean Pierre,Chabaud Roger,C V VALENCIENNES,DNF,DNF,13,22,DNF,C V VALENCIENNES,87,21
FRA,,Eric Quemard,Dominique Lambard,CV PARIS,DNF,DNF,17,19,DNS,CVML,88,22
FRA,,Marcq Patrice,Taconet Jean Philippe,S N P H,17,DNF,DNC,23,DNF,S R HAVRE,92,23
FRA,,Neidhart Elisabeth,Legeai Jerome,CVML,DNC,DNC,20,21,DNS,CV PARIS,93,24
FRA,,Winsback Emmanuel,Pingard Guillaume,S R FECAMP,DNC,DNC,DNC,DNC,DNC,S R HAVRE,104,DNA
