Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
FRA,8902,Philippe Boite,Fabrice Toupet,,1,1,1,8*,1,3,1,1,9,1
FRA,0,Bertrand Loyal,Xavier Detappe,,4,3,2,5*,4,2,4,2,21,2
SUI,8954,Florian Stauffer,Philippe Jacot,,3,12,3,15*,8,1,2,4,33,3
FRA,8844,Xavier Broise,Nicolas Des Jamonieres,,43*,9,7,3,2,8,3,3,35,4
SUI,8613,Gilles Petermann,Laurent Grob,,5,5,12,23*,3,4,6,6,41,5
FRA,8900,Serge Gubri,Thibault Di Pede,,2,2,9,11,5,20*,9,11,49,6
FRA,8950,Herve de Kergariou,,,28*,7,6,2,19,9,7,12,62,7
SUI,0,Rene Betschen,Lionel Hollinger,,30*,4,4,16,11,15,22,7,79,8
FRA,8515,Nicolas Croce,Florian Faucheux,,11,20,10,32*,22,7,8,5,83,9
GBR,8905,Stuart Turnbull,Jason Lunn,,24,18,8,27*,9,10,5,10,84,10
FRA,0,Laurent Nevo,Fabrice Bouton,,6,22*,20,20,10,5,11,15,87,11
FRA,0,Nicolas Martin,Julien Lafortune,,23,25*,13,1,7,14,19,14,91,12
FRA,0,Manuelle Adam,Jordane Lafortune,,16,13,16,7,12,11,28*,18,93,13
FRA,0,Claude Gachet,Kleber Valery,,8,DPI,28*,22,6,12,18,23,107,14
GBR,8906,Harry Briddon,Simon Briddon,,31,14,19,18,32*,16,15,8,121,15
FRA,8484,Philippe Blanchard,Charles Maire,,19,23,25,14,27*,22,10,17,130,16
FRA,7941,Veronique Brenet,Jean-Pierre Peter,,25,11,29,4,24,23,43*,20,136,17
SUI,8077,Catherine Houriet,Gil Donze,,9,46*,36,13,16,13,27,28,142,18
FRA,8895,Mathieu Devaux,Philippe Dubuc,,29,16,32*,17,26,19,23,13,143,19
FRA,0,Baptiste Lafortune,Geraud Lafortune,,10,17,18,47,18,17,26,39*,145,20
FRA,0,Bertrand Commeil,Charles Commeil,,12,10,21,39,23,44*,17,29,151,21
