Nation,Boat NO,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Crew Club,points,place
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,17*,1,3,2,C V BORDEAUX C M,6,1
FRA,8844,Broise Xavier,Des Jamonieres Nicolas,CERGY VOILE 95,6*,2,2,3,CVML,7,2
FRA,8908,Loyal Bertrand,Detappe Xavier,S R ROCHELAISES,36 OCS*,3,1,5,S R ROCHELAISES,9,3
FRA,8900,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,11*,6,4,1,CVSQ,11,4
FRA,,Nevo Laurent,Bouton Fabrice,S R ROCHELAISES,13*,4,5,7,S R ROCHELAISES,16,5
FRA,,Croce Nicolas,Faucheux Florian,C N CANET PERPIGNAN,2,17*,11,4,C N CANET PERPIGNAN,17,6
FRA,8683,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,1,9*,9,8,C V SEINE-PORT,18,7
FRA,8695,Puissant Jean-Guy,Le Guen Bernard,CV LAC 3 PROVINCES,4,16*,8,10,C.V. Joué-lès-Tours,22,8
FRA,,Commeil Bertrand,Commeil Charles,Y C CARNAC,8,8,6,18*,Y C CARNAC,22,9
FRA,8752,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,3,11,16*,12,C V SEINE-PORT,26,10
FRA,,Gachet Claude,Valery Kleber,YC Grenoble Chara.,7,10,10,16*,YC Grenoble Chara.,27,11
FRA,,De Lisle Francois,Brillaud Herve,C N FERRET,15*,7,12,13,C N FERRET,32,12
FRA,8948,Guillou Nicolas,Geron Basile,S N P H,12,28*,15,6,S N P H,33,13
FRA,,Dupont Jean Baptiste,Ancelot Jean Claude,CV PARIS,14,12,7,15*,C N PENESTIN,33,14
FRA,8847,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,5,14,17,22*,C N HAUTE SEINE,36,15
FRA,8895,Devaux Mathieu,Dubuc Philippe,S R FECAMP,36 OCS*,5,13,19,S R FECAMP,37,16
FRA,8950,De Kergariou Herve,De Kergariou Pierre,E V CATASCHOOL,9,19,22*,9,M,37,17
FRA,8716,Martin Aline,Lafortune Jordane,C V SEINE-PORT,36 OCS*,13,14,11,C V SEINE-PORT,38,18
BEL,8486,Viaud Pascal,Viaud Alban,S R ROCHELAISES,10,15,29*,23,C N CO ST TROJAN,48,19
FRA,,Veroul Frederic,Huet Sebastien,C N VASSIVIERE,16,24*,18,17,C N VASSIVIERE,51,20
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,24*,23,19,14,WIND 14,56,21
FRA,,David Michel,Dumas Bruno,C V ARCACHON,19,18,23*,21,C V HOURTIN MEDOC,58,22
FRA,8348,Gougeon Matthieu,Rouanne Dominique,CVSQ,18,25*,25,20,Y C CAVALAIRE,63,23
FRA,,Ingrand Mathieu,Rault Stanislas,YC Grenoble Chara.,23,21,20,28*,CVML,64,24
FRA,,Boiry Michel,Condroyer Xavier,CV PARIS,21,20,26*,24,C .V. DE PARIS,65,25
FRA,,Vandersteen Philippe,Gennart Genevieve,SNEH BEL,22,27*,21,26,F,69,26
FRA,,Hermieu Jean Philippe,Simonnot Christian,CN Sainte-Maxime,26*,22,24,25,Y C TOULON,71,27
FRA,,Dechauffour Jacques,Dechauffour Sabine,A.N. ILE AUX MOINES,20,29,28,30*,A.N. ILE AUX MOINES,77,28
FRA,,Lapeyre Bertrand,Robin Trystan,CVML,28*,26,27,27,C N CASTELNAUDARY,80,29
FRA,,Derungs Jean-Pierre,Derungs Mathis,CVML,25,30,31*,29,CVML,84,30
FRA,,Gaudet Eugene,Bradfer Philippe,C Y V PARELOUP,29,31,30,36 DNF*,C Y V PARELOUP,90,31
FRA,,Pascal Fabien,Carphasie Fred,C.N. VIRY CHATILLON,32,32,33*,31,C.N. VIRY CHATILLON,95,32
BEL,,Mineur Alain,Boucau Fabienne,SNEH BEL,31,36 DNS*,32,33,F,96,33
FRA,,Marly Stanislas,Gobion Cedric,M,30,36 DNF*,36 DNF,32,C V CAZAUX LAC,98,34
FRA,,Mouclier Emmanuel,Bataille Mathieu,CVML,27,36 DNF*,36 DNF,36 DNF,SELLOR NAUTISME,99,35
