Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Points,Netto,Place
GBR,9253,Nathan Batchelor,Sam Pascoe,Tynemouth SC,1,1,1,1,1,1,[4],3,1,1,[22 DNC],37,11,1
USA,9153,Howie Hamlin,Jeff Nelson,ABYC,2,2,[6],2,2,4,1,4,[6],3,3,35,23,2
GBR,8935,David Ellis,Jim Hunt,South Staffs SC / Lymington Town SC,[12],5,[11],3,3,2,9,1,3,6,1,56,33,3
GBR,9246,Michael Simms,Carl Gibbon,Burton SC,[21 DNF],3,2,5,6,5,3,2,4,4,[20 DNF],75,34,4
GBR,9238,Ian Pinnell,Alex Davies,Northampton SC,3,[22 DSQ],4,7,[22 DSQ],9,5,6,2,2,4,86,42,5
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,5,6,5,[8],5,8,2,[9],5,5,2,60,43,6
GBR,9093,Terry Scutcher,Harry Briddon,Shotley SC / Ogston SC,4,4,3,[13],9,[12],10,7,8,7,12,89,64,7
FRA,9147,Hervé de Kergariou,Guillaume de Kergariou,Quiberon SC,[21 DNF],10,10,6,4,[13],12,5,7,10,5,103,69,8
GBR,8963,Martin Hodgson,Adrian Miles,Stone SC,6,9,8,4,[13],10,7,[13],10,8,7,95,69,9
GBR,9178,Chris Lewns,Jack Kilburn,Whitstable YC,7,8,7,10,10,7,[13],8,[13],11,9,103,77,10
GBR,9126,Tim Bird,Mike Priddle,Burton SC,10,[13],-18,11,7,6,11,10,12,9,10,117,86,11
GBR,9085,Charlie Walters,Dougal Cram,Datchet Water SC,[22 DNC],[22 DNC],22 DNC,9,8,3,8,12,9,13,13,141,97,12
GBR,9155,Euan Hurter,Laurance Milton,Dalgetti Bay SC,15,7,9,[16],12,[16],6,14,16,14,8,133,101,13
GBR,9203,Jim Blyth,Danny Read,Largo Bay SC,9,11,[15],12,11,11,14,15,[19],12,6,135,101,14
GBR,8881,Charlie Chandler,Russ Hopkins,Tewkesbury SC,8,12,12,14,[15],-15,15,11,11,15,14,142,112,15
GBR,9179,Tudor Owen,Paddy Lewis,Minnis Bay SC,14,14,14,15,14,14,17,18,14,[22 DNC],[22 DNC],178,134,16
GBR,9125,Roger Deane,Jonathan Ward,Rock SC / Ogston SC,11,15,13,[20],19,17,20,19,17,[22 DSQ],11,184,142,17
GBR,8749,Kenny Manderson,Charles Milton,Helensburgh SC,17,17,17,[18],16,[18],16,16,15,17,15,182,146,18
IRL,7771,Brian Jones,Gary Frost,Mounts Bay SC,13,16,16,17,18,[21],18,17,[20],18,17,191,150,19
GBR,9168,Chris Laverty,Darren Booth,Helensburgh SC,16,[21 RET],[21 RET],19,17,19,19,20,18,16,16,202,160,20
GBR,8925,Ben McLaughlin,Joseph Hotchkiss,Clevedon SC,18,[21 RET],[22 DNS],21,20,20,21,21,21,19,18,222,179,21
