Country,Sail_number,Helms_Name,Crews_Name,Sailing_Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
GBR,9240,Nathan Batchelor,Sam Pascoe,Tynemouth SC,1,1,1,2,1,[4),2,12,8,1st
GBR,9215,Roger Gilbert,Ben McGrane,Netley SC,[2),2,2,1,2,2,1,12,10,2nd
GBR,8935,David Ellis,Jim Hunt,Lymington Town SC / South Staffs SC,3,[5),3,4,3,3,4,25,20,3rd
GBR,8914,Tim Bird,Mike Priddle,Burton,[5),3,5,3,4,1,5,26,21,4th
GBR,9246,Michael Sims,Carl Gibbon,Burton,4,4,4,[5),5,5,3,30,25,5th
GBR,9168,Chris Laverty,Darren Booth,Helensburgh SC,[7 DNC],7 DNC,7 DNC,7 DNC,7 DNC,7 DNC,7 DNC,49,42,6th
