Nation,Voat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Drop,Netto,Place
USA,8610,Nick Trotman,Mike Mills,,1,1,2,5,3,6*,17.5,6,11.5,1
CAN,8264,Jeff Boyd,Martin tenHove,,2,5,4,1,8*,1,20.5,8,12.5,2
USA,8629,Tyler Moore,Scott Ikle,,5,2,1,2,5,9*,23.75,9,14.75,3
USA,806*,Tim Collins,Bill Smith,,3,6,13*,8,1,5,35.75,13,22.75,4
USA,7093,Ethan Bixby,Cam Lewis,,4,3,3,7,6,10*,33,10,23,5
USA,8083,Neal Fowler,Dave Dyson,,8,33 DNF*,5,3,4,4,57,33,24,6
USA,8012,Henry Amthor,Doug Amthor,,7,7,6,22*,2,3,47,22,25,7
USA,8645,Englert,Melton,,10,11*,9,4,10,2,46,11,35,8
CAN,7200,Meller,Breton,,11,8,7,6,12,34 DNS*,78,34,44,9
USA,8191,Nelson,Crane,,14*,9,11,13,7,8,62,14,48,10
USA,7092,Elliot,Kilgore,,6,4,10,18*,17,17,72,18,54,11
CAN,8442,Morrin,Hoffman,,16,13,8,12,11,20*,80,20,60,12
USA,8194,Kivney,Chamberlin,,13,10,15,17,13,26*,94,26,68,13
USA,8060,Shell,Curtis,,9,14,19,16,20*,15,93,20,73,14
CAN,8260,Eskritt,Lovshin,,19,16,21*,9,14,16,95,21,74,15
CAN,6910,Bryant,Hughes,,21,19,16,23*,9,11,99,23,76,16
CAN,8192,Hamilton,Brox,,12,12,34 DSQ*,28,16,19,121,34,87,17
CAN,8410,Bush,Gilles,,22,26*,18,21,23,7,117,26,91,18
USA,7685,Alexander,Richmond,,23*,22,22,19,15,14,115,23,92,19
CAN,7612,Schulz,Estabrooks,,20,17,14,25*,21,21,118,25,93,20
CAN,7605,Renka Gesing,Adam Gesing,,15,15,27,29*,25,13,124,29,95,21
USA,8624,Stetson,Agrell,,27,21,28*,15,22,12,125,28,97,22
USA,6985,Breton,Breton,,18,20,20,11,30,34 DNS*,133,34,99,23
USA,8085,de la Rie,Marini,,17,28,17,10,34 DNS*,34 DNS,140,34,106,24
CAN,7610,DesBrisay,Hansen,,32 DNF*,18,12,27,28,22,139,32,107,25
CAN,7798,Hurley,Wood,,29*,27,24,14,27,18,139,29,110,26
CAN,7150,Torrie,Yates,,25,23,23,30*,19,24,144,30,114,27
CAN,8233,Bertrand,Molinard,,24,25*,25,24,18,25,141,25,116,28
CAN,7796,Ashby,Adams,,28,29*,26,20,24,27,154,29,125,29
USA,8600,Kaiser,Badtke,,26,24,29*,26,26,23,154,29,125,30
CAN,7950,Samson,Beaudoin,,30,22 DNF*,30,31,29,29,182,33,149,31
CAN,6802,Bennett,,,34 DNS*,30,31,34 DNS,32,28,189,34,155,32
CAN,7790,Dumuchel,Bougie,,34 DNS*,34 DNS,32,33 DNF,31,30,194,34,160,33
