Sail,#,SKIPPER,CREW,Cub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,TOTAL,DROP,"TOT minus  DROP",#
CAN,8442,Hugh Morrin,Michael Hoffman,,1,1,1,10,1,3,1,16.8,10,6.75,1
CAN,8192,Brook Hamilton,Jeff Boyd,,2,2,9,1,3,1,4,21.5,9,12.5,2
CAN,8260,Shona Lovshin-Moss,Stephen Lovshin,,5,9,10,4,2,2,2,34,10,24,3
CAN,7605,Renka Gesing,Adam Gesing,,14,11,5,2,6,YMP,3,46,14,32,4
USA,8600,Ki Kaiser,John Badtke,,3,7,3,9,7,7,5,41,9,32,5
CAN,8233,François Bertrand,Allain Molimard,,6,5,2,7,10,6,7,43,10,33,6
USA,8624,David Stetson,Mike Agrell,,11,3,12,3,4,8,9,50,12,38,7
USA,7685,Graham Alexander,Brian Richmond,,7,6,7,8,5,12,6,51,12,39,8
CAN,7798,Marg Hurley,Peter Wood,,4,10,8,DNF,8,4,8,61,21,40,9
USA,8439,John Dohan,Anthony Abate,,8,12,13,5,9,11,10,68,13,55,10
USA,8265,Jim Tuten,Mark Koenig,,13,13,14,6,11,5,11,73,14,59,11
USA,7061,Jason Breeden,Angela Breeden,,10,8,11,11,DNF,10,12,81,21,60,12
CAN,8410,Clarissa Bush,Chris Gillies,,9,4,6,DNS,DNS,DNS,DNS,103,21,82,13
USA,7347,Phil Terman,Eric Gunderson,,15,15,16,DNF,14,9,15,103,21,82,14
USA,6663,Joe Stoodley,Allan Brown,,16,17,15,13,15,15,14,105,21,84,15
USA,7857,Hennessy,Hennessy,,17,16,17,12,12,14,16,104,17,87,16
USA,4379,Barrett  Rhoads,Andrew Gassman,,12,14,4,DNF,DNF,DNS,DNS,110,21,89,17
USA,5309,Michael Black,Jeff Southworth,,DNS,DNS,DNS,14,13,13,13,116,21,95,18
USA,8,Marek Balinski,Nora Hoffer,,18,18,18,DNF,DNS,DNF,DNS,132,21,111,19
USA,6660,Geoff Cashman,Jim Mcauley,,19,DNS,DNS,DNS,DNF,DNS,DNS,143,21,122,20
