Nat,Sejlnummer,Helm,Crew,Klub_1,R1,R2,R3,R4,R5,R6,R7,R8,Total,Nett,Rank
DEN,8232,Jonas Christiansen,Henrik Buhl,Hellerup Sejlklub,1,1,1,1,-2,-2,2,1,11,7,1
DEN,8632,Anna Garver,Mark Pedersen,Nivå Bådelaug,-3,2,2,2,-4,3,3,3,22,15,2
DEN,9023,Tom Bøjland,Jakob Karbo,SKS,(6 DNC),(6 DNC),6 DNC,6 DNC,1,1,1,2,29,17,3
DEN,6453,Hans Genefke Jørgensen,Finn Angelo,Skælskør AmatørSejlklub,2,3,3,3,3,-4,-4,4,26,18,4
DEN,8826,Michael Wonterghem,Fabiola Wonterghem,Sorø Sejlforening,(6 DNC),(6 DNC),6 DNC,6 DNC,6 DNC,6 DNC,6 DNC,6 DNC,48,36,5
