Sail,-,Helm,Crew ,,Race,Race,Race,Race,Race,,1,2,3,4,5,Tally,,Total,Result
SWE,8655,Krister Bergstrom,Thomas Moss,,2,4,2,1,1,,3,8,3,0,0,50,,6,1
USA,8714,Mike Martin,Steve Bourdow,,7,1,1,4,3,,13,0,0,8,5.70,62,,13.70,2
USA,8266,Howard Hamlin,Peter Alarie,,1,3,4,5,4,,0,5.70,8,10,8,61,,21.70,3
GBR,8743,Ian Barker,Daniel Cripps,,3,2,6,2,6,,5.70,3,11.70,3,11.70,87,,23.40,4
GBR,8736,Ian Pinnell,Nick Powell,,6,8,19,3,2,,11.70,14,25,5.70,3,33,,34.40,5
USA,7771,Andy Beeckman,Ben Benjamin,,4,5,8,12,14,,8,10,14,18,20,66,,50,6
USA,8680,Bruce Edwards,David Shelton,,17,9,7,8,5,,23,15,13,14,10,63,,52,7
GBR,8481,Simon Payne,Bill Masterman,,8,7,25,6,8,,14,13,31,11.70,14,29,,52.70,8
DEN,8620,Jan Saugmann,Morten Ramsbaek,,16,6,3,16,9,,22,11.70,5.70,22,15,82,,54.40,9
GBR,8752,Mike Holt,Ian Godfrey,,9,10,13,7,10,,15,16,19,13,16,31,,60,10
GER,8670,Martin Goerge,Rainer Goerge,,5,14,14,17,13,,10,20,20,23,19,78,,69,11
DEN,8728,Joergen Schoenherr,Kaempe Anders,,14,13,17,11,7,,20,19,23,17,13,84,,69,12
USA,7201,Daniel Thompson,Andrew Zinn,,15,12,9,9,15,,21,18,15,15,21,67,,69,13
FRA,8702,Philippe Boite,Jean Luc Muzellec,,10,16,32,10,11,,16,22,38,16,17,53,,71,14
CAN,8681,Robin Brown,John Fry,,12,23,12,13,17,,18,29,18,19,23,38,,78,15
SWE,8232,Ebbe Rosen,Olle Wenrup,,11,19,10,19,DNF,,17,25,16,25,68,51,,83,16
USA,8643,Barney Harris,Jesse Falsone,,22,17,5,22,19,,28,23,10,28,25,69,,86,17
AUS,8696,Carter Jackson,Simon Gorman,,13,22,24,15,23,,19,28,30,21,29,60,,97,18
USA,8722,Macy Nelson,Michael Welch,,24,18,11,25,22,,30,24,17,31,28,64,,99,19
GBR,8555,David Smithwhite,Neil Fulcher,,19,30,33,18,12,,25,36,39,24,18,36,,103,20
GER,8550,D Scheder-Bieschin,Martin Schoeler,,25,15,18,31,21,,31,21,24,37,27,81,,103,21
AUS,8667,Scott Olsen,Sean Gregory,,27,20,20,23,16,,33,26,26,29,22,57,,103,22
USA,8734,Alexander Meller,Joe Boy,,26,21,16,27,25,,32,27,22,33,31,65,,112,23
GBR,8741,Vernon Ralston,Simon Spatt,,29,32,37,14,18,,35,38,43,20,24,88,,117,24
GER,8675,Volker Goerge,Kartsen Morf,,23,25,34,26,27,,29,31,40,32,33,80,,125,25
SWE,8719,Jakob Lindvall,Kalle Byrenius,,32,27,21,30,24,,38,33,27,36,30,52,,126,26
AUS,8760,Brett Van Munster,Adam Linton,,21,26,27,28,29,,27,32,33,34,35,58,,126,27
GER,8720,Dirk Filimonow,Yuts Stockmam,,18,11,RAF,21,DNF,,24,17,68,27,68,77,,136,28
DEN,8551,Jacob Ernst,Jesper Ernst,,33,24,35,33,28,,39,30,41,39,34,83,,142,29
AUS,8524,Leslie Nathanson,Pip Pearson,,20,DNF,22,DNF,20,,26,68,28,68,26,56,,148,30
RSA,8520,Derick Warne,Mark Schwegman,,36,41,26,29,33,,42,47,32,35,39,76,,148,31
GBR,8672,Miles Odell,Andrew Streeter,,37,38,31,34,26,,43,44,37,40,32,30,,152,32
RSA,8211,Andrew Heathcote,Shaun Pammenter,,DNF,31,43,24,31,,68,37,49,30,37,73,,153,33
CAN,8192,John Hayley,Winston Cummins,,34,34,28,37,DNC,,40,40,34,43,68,39,,157,34
RSA,8406,Rob Hancock,Alan Franklin,,DNF,28,29,20,DNF,,68,34,35,26,68,49,,163,35
RSA,7682,Robbie Willcox,Ditmar Herrmann,,31,33,15,DNC,DNC,,37,39,21,68,68,46,,165,36
RSA,8584,Nigel Milln,Anton Ellens,,35,29,23,DNF,DNC,,41,35,29,68,68,40,,173,37
AUS,8755,Matthew Hansen,Ross Brennan,,39,36,40,RAF,35,,45,42,46,68,41,59,,174,38
FRA,8748,Gilles Carvallo,Samuel Carvallo,,38,48,49,36,32,,44,54,55,42,38,54,,178,39
ZIM,8445,Patrick McCosh,Grant Chadwick,,40,50,39,41,34,,46,56,45,47,40,85,,178,40
GBR,8483,Simon Sydenham,Nigel James,,41,42,44,38,36,,47,48,50,44,42,32,,181,41
