Nation,Boat No,Helm,Crew,Boat Name,,,Points,Place 
GBR,,Derek Farrant,Mike Fountain,Miss VII,,,11,1st
DEN,,Jan Eppers,Per Gotfredsen,Moustache,,,20.4,2nd
SWE,,Christer Båth,Pelle Bath,Kalabalik,,,30.4,3rd
IRL,,Harold Cudmore,Chris Bruen,Overdrawn,,,41.7,4th
GBR,,Paul Deschamps,Victor Deschamps,Phantom,,,43.1,5th
GBR,,Hugh Bourn,Mike Bryant,Samuel Esquire,,,44,6th
FRA,,Yves Pajot,Marc Pajot,Leopard,,,49,7th
FRA,,Jean Roumaillac,Christian Brodard,Djinn,,,53,8th
DEN,,Pierre Poullain,Daniel Nottet,Viking,,,61.7,9th
