Nat,Sailno,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
FRA,9220,Philippe Boite,Gasquet Aristide,CVSQ,-2,1,1,1,-3,2,1,1,1,13,8,1
BEL,8898,Van Assche Bas,Van Assche Toon,Limburgse Zeilfederatie,1,2,2,2,1,1,-4,2,-3,18,11,2
BEL,8613,Van Assche Kim,Van Assche Lien,Limburgse Zeilfederatie,3,6,6,3,-13,3,5,4,-7,50,30,3
FRA,8716,Aline Martin,Henry Chevet,YCIF,4,3,-9,-9,2,7,7,3,5,49,31,4
FRA,9031,Philippe Lucienne,Lucienne Vivien,SRC Sud oise,-12,-9,3,4,5,5,2,6,8,54,33,5
BEL,8625,Casper Martens,Stijn Oyen,LZF,-9,7,4,5,4,6,-8,7,4,54,37,6
FRA,8870,Christian Silvestre,Nicolas Auberger,Yacht Club de l'Ile de France,6,5,5,-11,8,9,3,(23 OCS),2,72,38,7
FRA,8363,Delacroix Guillaume,Decaudin Xavier,YC du CALAISIS,5,4,-12,-14,7,8,9,10,10,79,53,8
BEL,8553,Gorremans Paul,Gorremans Pierre,Sirrocco,(23 UFD),8,8,8,9,-10,6,9,6,87,54,9
FRA,9219,Neidhart Elisabeth,Gougeon Matthieu,YCIF,8,11,7,7,-14,-12,10,8,9,86,60,10
FRA,8729,Di Pède Thibault,Lafortune Jordane,C V SEINE-PORT,10,13,-14,6,6,4,11,(23 OCS),11,98,61,11
BEL,8949,Crets Cédric,Lionel Lambert,RCNV,7,12,10,10,10,(23 RET),(23 RET),5,12,112,66,12
BEL,8844,Frank Boonen,Ronald Vanthoor,Noord Limburg,-14,10,11,12,12,11,-13,11,13,107,80,13
BEL,8420,Filip Corten,Gert Vervecken,Limburgse zeilfederatie,13,14,13,13,-15,13,14,12,-15,122,92,14
BEL,9064,Philippe Vandersteen,Vanieckaud,SNEH,11,(23 RET),(23 DNS),23 DNS,11,14,12,14,23 DNF,154,108,15
FRA,7710,Jean-Pierre Derungs,Jean-Paul Lozouet,CVML / CVP,15,(23 DNF),16,-20,17,19,15,16,14,155,112,16
BEL,8521,Sander Smeets,Tessa Liebens,Limburgse Zeilfederatie,17,17,(23 DNF),15,(23 DNF),15,18,15,17,160,114,17
BEL,8400,Théo Geeraerts,Florian Lebecque,SNEH,18,(23 DNF),18,18,19,(23 DNF),16,13,16,164,118,18
BEL,8543,Mineur Alain,Boucau Fabienne,SNEH,16,15,15,16,16,18,(23 RET),(23 DNS),23 DNS,165,119,19
BEL,8699,Steven Ferson,Sophie Crasborn,SRVL-S,-19,16,17,19,18,-20,17,17,18,161,122,20
GER,8691,Harald König,Katja Frühwald-König,SRVL-S,20,18,19,17,(23 DNC),17,(23 RET),23 DNS,23 DNS,183,137,21
BEL,8742,Frédééric Decocq,Océane Smet,SNEH,(23 DNC),(23 DNC),23 DNC,23 DNC,23 DNS,16,23 RET,23 DNS,23 DNS,200,154,22
