Nation,Boat no,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
SUI,8569,René Betschen,Philippe Jacot,(SUI),,,1
SUI,,Jean-Francois de Cerjat,Hollinger,(SUI),,,2
SUI,,Renker,Beat Wernli,(SUI),,,3
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,4
SUI,8543,Cedric Bart,Jean-Philippe Senn,(SUI),,,5
SUI,,Markus Bohren,Roger Fischer,(SUI),,,6
SUI,8440,Urs Scherrer,Peter Schmidle,(SUI),,,7
GER,,Markus Mühlbauer,Andre Müller,DTYC,,,8
SUI,,Caroline Stolz,Duvoisin,(SUI),,,9
SUI,,Bruno Oldani,Erich Fischlin,(SUI),,,10
SUI,8426,Marcel Plüss,Yvo Dürr,(SUI),,,11
GER,,Oliver Ziems,Ute Ziems,TSVS,,,12
SUI,8096,Brasey,Burri,(SUI),,,13
GER,8590,Stefan Köchlin,Nicole Hunecke,SKF,,,14
SUI,,Hans-Jörg Spiess,Beat Ineichen,(SUI),,,15
FRA,,Fransic Doerenbecher,Doerenbecher,(FRA),,,16
SUI,,Heine Kyburz,Herbert Hermann,(SUI),,,17
SUI,7953,Adrian Zaugg,Reinacher,(SUI),,,18
SUI,,Frederic Duvoisin,Vuilliomenet,(SUI),,,19
SUI,,Ronald Hunziker,Stierli,(SUI),,,20
SUI,,Zoller,Unternährer,(SUI),,,21
SUI,,Markus Gericke,Beat Waser,(SUI),,,22
SUI,,Samuel Zubler,Reto Zubler,(SUI),,,23
SUI,8346,Jürg Weber,Philip Grob,(SUI),,,24
SUI,8486,Simone Zund,Michel Rotach,(SUI),,,25
SUI,,Evans,Den Besten,(SUI),,,26
SUI,,Nydegger,Nydegger,(SUI),,,27
SUI,,Chapatte,Froidevaux,(SUI),,,28
GER,,Detlef Ihmels,Barbara Wand,SVPb,,,29
SUI,,Studler,Studler,(SUI),,,30
SUI,,Aubort,Zoller,(SUI),,,31
SUI,,Preiswerk,Bolliger,(SUI),,,32
