Land,,Steuermann,Vorschoter,Club,,Punkte,Platz
,,,,,,,1
,,,,,,,2
,,,,,,,3
,,,,,,,4
GER,8580,Ernst Meyer,Uwe Lätsch,SpYC,,,5
