Number,,Helmsman,Crew,,1,2,3,4,5,6,Points,Discard,Position
SWE,7351,Nilsson,Aven,,1,4,7,12,1,1,39,21,1
SWE,7352,Bergstrom,Hallberg,,2,2,RET,1,3,5,111.7,21.7,2
DEN,7381,Bojsen Moller,Bojsen M.,,4,1,5,2,2,9,39,24,3
SWE,6630,Staffan Eklund,Anders Eklund,,7,3,1,4,9,2,44.7,29.7,4
DEN,7143,Schonherr,Kempe,,3,5,2,6,4,19,63.4,38.4,5
GER,7005,Matthias Dietz,Wiedemann,,42,6,4,9,7,3,101.5,53.4,6
SWE,7033,Rosen,Wenrup,,6,7,3,5,11,29,92.4,57.4,7
GBR,7275,Miens,Labbett,,5,10,6,7,5,DNC,149.7,60.7,8
GER,6768,Kluck,Schmidt,,16,15,8,3,8,34,116.7,76.7,9
DEN,7162,Staal,Lund,,9,13,16,RET,13,11,181,92,10
SUI,7072,Jobdon,Emery,,23,17,21,18,6,4,122.7,93.7,11
FRA,7187,Gubn,Debeaumont,,14,9,15,14,25,15,128,97,12
SWE,7078,Christen Ruedi,Mathis Ruedi,,10,11,25,13,DNC,10,188,99,13
SWE,6750,Josef Zuppiger,Brechbueheer,,12,DNC,14,17,15,12,189,100,14
SWE,7028,Scherrer,Walser,,17,32,63,8,17,6,178.7,109.7,15
FRA,6589,Marcel Buffet,Vanier,,13,12,9,24,24,38,156,112,16
FRA,6572,Doerenbecher,Bottlaender,,28,23,RET,15,12,8,205,116,17
DEN,7017,Vestbo,Borre,,18,8,24,36,20,18,160,118,18
SWE,7209,Ferm,Ferm,,25,20,32,11,14,21,159,121,19
SUI,7223,Schiess,Schiess,,47,29,17,20,16,17,182,129,20
GER,7271,Eich,Zecher,,15,36,22,16,19,30,174,132,21
GBR,7313,M. Lawton,Merrett,,8,48,13,21,RET,13,222,133,22
GBR,7293,Bainbridge,Campbell,,20,DNC,12,33,23,32,239,150,23
GER,7292,Frisch,Jenssen,,19,16,41,39,22,28,201,154,24
SWE,7343,Stromberg,Jan Calvert,,34,25,19,PMS,10,39,246,157,25
GBR,6960,T. Marlow,S. Cook,,40,31,20,23,37,24,211,165,26
,,,,,,,,,,,,,27
,,,,,,,,,,,,,28
,,,,,,,,,,,,,29
,,,,,,,,,,,,,30
,,,,,,,,,,,,,31
,,,,,,,,,,,,,32
,,,,,,,,,,,,,33
,,,,,,,,,,,,,34
,,,,,,,,,,,,,35
,,,,,,,,,,,,,36
,,,,,,,,,,,,,37
,,,,,,,,,,,,,38
,,,,,,,,,,,,,39
,,,,,,,,,,,,,40
,,,,,,,,,,,,,41
,,,,,,,,,,,,,42
,,,,,,,,,,,,,43
,,,,,,,,,,,,,44
,,,,,,,,,,,,,45
,,,,,,,,,,,,,46
,,,,,,,,,,,,,47
,,,,,,,,,,,,,48
,,,,,,,,,,,,,49
,,,,,,,,,,,,,50
,,,,,,,,,,,,,51
,,,,,,,,,,,,,52
,,,,,,,,,,,,,53
,,,,,,,,,,,,,54
,,,,,,,,,,,,,55
,,,,,,,,,,,,,56
,,,,,,,,,,,,,57
,,,,,,,,,,,,,58
,,,,,,,,,,,,,59
,,,,,,,,,,,,,60
,,,,,,,,,,,,,61
,,,,,,,,,,,,,62
,,,,,,,,,,,,,63
,,,,,,,,,,,,,64
,,,,,,,,,,,,,65
,,,,,,,,,,,,,66
,,,,,,,,,,,,,67
,,,,,,,,,,,,,68
,,,,,,,,,,,,,69
,,,,,,,,,,,,,70
,,,,,,,,,,,,,71
,,,,,,,,,,,,,72
,,,,,,,,,,,,,73
,,,,,,,,,,,,,74
,,,,,,,,,,,,,75
,,,,,,,,,,,,,76
,,,,,,,,,,,,,77
,,,,,,,,,,,,,78
,,,,,,,,,,,,,79
,,,,,,,,,,,,,80
,,,,,,,,,,,,,81
,,,,,,,,,,,,,82
