,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,Platz
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,1,1,1,1,5,2,2,2,,,1
GER,9070,Meike Schomäker,Holger Jess,ZSK,2,7,4,2,1,1,5,1,,,2
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,3,8,3,3,2,4,1,3,,,3
FRA,9075,Philippe Boite,Fabrice Toupet,CVM,9,2,2,9,9,3,3,5,,,4
GER,8875,Jens Findel,Johannes Tellen,KYC,8,4,5,4,4,5,8,7,,,5
FRA,9076,Broise Xavier,Gilles Carvallo,CNH,5,6,DNC,5,3,8,4,8,,,6
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,6,3,8,11,19,7,7,6,,,7
DEN,9023,Tom Bøjland,Anders Friis,Farum,7,9,6,6,6,6,9,9,,,8
DEN,8958,Nikolaj Buhl,Henrik Buhl,,16,18,10,8,7,10,6,4,,,9
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,11,11,11,10,11,13,11,16,,,10
DEN,8232,Jonas Christiansen,Kim Riis Pedersen,,12,15,9,14,15,11,10,10,,,11
SWE,8926,Ebbe Rosen,Olle Wenrup,Mai Arhojd,4,5,12,7,8,DNC,DNC,DNC,,,12
SWE,8787,Lars Bjerke,Tore Reimold,BKSS,13,12,15,DNC,12,9,12,11,,,13
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,SoSe,14,17,13,13,13,14,13,14,,,14
SWE,8837,Tord Lawner,Douglas Wangdal,GKSS,DNF,14,16,DNC,14,12,14,12,,,15
SWE,8257,Peter Andersson,Per-Eric Thörnström,,DNF,14,16,24,14,12,14,12,,,16
SWE,7343,Kalle Nilsson,Johan Calvert,GKSS,10,10,7,OCS,16,OCS,OCS,DNC,,,17
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,15,16,17,16,18,17,17,17,,,18
DEN,8551,Russell Brice,Lasse Andrewartha,,DNC,DNC,DNC,12,19,16,15,13,,,19
DEN,6453,Hans Genefke Jørgensen,Finn Angelo,,17,DNC,DNC,OCS,21,DNC,18,18,,,20
DEN,8632,Anna Garver,Mark Pedersen,,DNC,DNC,DNC,17,20,18,DNC,DNC,,,21
SWE,7463,Mårten Hansson,Ronald Nilsson,,DNC,DNC,DNC,DNC,22,DNC,DNC,DNC,,,22
