Nation,Sail no,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat,Total,Pos
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,2,1,2,1,1,1,1,3,2,,14,1
USA,916*,Kevin Taugher,Jon Bell,Alamitos Bay Yacht Club,3,3,3,2,3,2,3,1,3,,23,2
USA,9088,Mike Holt,Rob Woelfel,Santa Cruz,1,4,5,4,2,4,2,2,1,IO Integration,25,3
USA,8714,Reeve Dunne,,None,4,2,4,5,4,3,4,5,4,,35,4
CAN,9216,Stephen Bourdow,,Santa Cruz yc,5,5,1,3,5,6,5,4,5,,39,5
USA,8937,Tim Murphy,Andrew Sutton,none,6,6,6,6,6,5,6,6,6,,53,6
USA,7877,Steve Anderes,,N,7,7,7,7,8/DNF,8/DNC,8/DNC,8/DNC,8/DNC,Spaceman Spiff,68,7
