Nation,Sail,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat,Total,Pos
USA,8786,Luke Ingalls,John Ingalls,Sakonnet Yacht Club,[4],3,3,1,1,2,1,2,Barbara,13,1
USA,8951,David Kirkpatrick,Parker Colantuono,,3,[5],1,2,3,1,4,1,David Kirkpatrick,15,2
USA,8930,Duane Delfosse,Tom Hurwitch,LSYC,2,2,2,[3],2,3,2,3,Bit More,16,3
USA,8081,Alexander Tong,Julia Fuller,,1,1,4,[5],4,4,3,4,8081,21,4
USA,9183,Michael Breton,Christopher Booher,Sail Newport,[5],4,5,4,5,5,5,5,No Retreat,33,5
