Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Netto,Place
IRL,8987,Peter Scannell,John Dunlea,,2,2,1,1,6,1
USA,8786,Luke Ingalls,John Ingalls,,1,1,2,2,6,2
USA,8930,Duane Delfosse,Tom Hurwitch,,5,3,3,4,15,3
USA,8708,Ben Greenfield,M Tringale,,4,4,5,3,16,4
USA,8081,Alexander Tong,,,6,7,4,5,22,5
USA,6985,Alexander Young,,,7,5,6,9,27,6
USA,8951,David Kirkpatrick,P Colantuono,,3,9,9,9,30,7
USA,9005,Bruce Chafee,B Shore,,9,6,7,9,31,8
