Numer na żaglu,Imię i nazwisko sternika,Imię i nazwisko załoganta,Przynależność klubowa / Team,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race7,Suma punktów:,Miejsce w regatach
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia / Hermes Racing,1,8*,3,1,1,2,2,10,1
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,4,1,2,7*,5,3,1,16,2
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH W-wa,2,5,7*,3,3,1,3,17,3
POL 8217,Jakub Kręciwilk,Wojciech Denderski,,6,3,1,6,7*,5,4,25,4
POL 8909,Jan Domański,Konrad Małachowski,KPMG Sailing Team,5,2,5,2,6*,6,5,25,5
POL 8802,Dominik Ostrowski,Jan Siekierzyński,SWOS Warszawa / merlin.pl,3,4,9,4,2,9,DNF*,31,6
POL 8736,Adam Kuczyński,Andrzej Borowiak,ŻMKS Poznań,7,7,4,S,4,12*,6,37,7
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia / KB Pomorze,8,6,11*,10,9,10,8,51,8
POL 8437,Anna Zabłocka,Kacper Kaczmarek,AZS Poznań,14,9,6,DNF*,10,4,10,53,9
POL 8145,Jakub Kozanko,Michał Wdówka,Ericsson Ericpol,12,OCS*,10,5,11,8,7,53,10
POL 8665,Marcin Panek,Przemysław Rzepecki,YK Stal Gdynia,11,11,8,8,12*,7,12,57,11
POL 8493,Mieczysław Szwed,Adam Kominek,CŻ Szczecin,9,13,15,DNF*,8,11,9,65,12
POL 7942,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań,13,DNF*,13,11,14,13,11,75,13
POL 8656,Szymon Szymik,Mateusz Wolszczak,"YKP BB,YKStal Gdynia",10,12,12,12,DNC*,DNC,DNC,80,14
POL 8770,Anna Kozińska,Jakub Gąsiorowski,YK Stal Gdynia / Almarina,15,10,DNC*,13,13,OCS,DNF,85,15
POL 8551,Andrzej Kubiak,Marek Milewski,Navigare Poznań,DNF*,DNS,DNS,DNS,DNC,DNC,DNC,102,16
