Country,Sail No,Helm Name,Crew Name,Helm Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Pond SC/HISC,[1],1,1,1,1,1,6,5,1
GBR,9093,Michael Sims,Carl Gibbon,Carsington SC/Burton SC,2,2,2,[6 OCS],2,2,16,10,2
GBR,9158,Duncan Barr,Cameron Barr,Netley,3,3,[6 RET],2,3,4,21,15,3
GBR,8929,Simon Potts,Rob Allen,Burghfield SC,[4],4,3,3,4,3,21,17,4
GBR,9168,Miles Odell,Rory Odell,HISC,5,5 TLE,[6 RET],4,5,6 DNS,31,25,5
