Country,Sail Number,Helm,Crew,Club,R1 6/6/2024,R2 6/6/2024,R3 7/6/2024,R4 7/6/2024,R5 7/6/2024,R6 8/6/2024,R7 8/6/2024,R8 8/6/2024,R9 9/6/2024,R10 9/6/2024,Boat Name,Total,Nett,Rank
GBR,9262,Howard Hamlin,Andy Zinn,HNYC,2,1,2,2,[5],1,3,3,2,[5],,26,16,1st
USA,9266,Mike Holt,Carl Smit,Santa Cruz YC,3,6,5,1,1,7,2,[16],1,[8],AdBlue,50,26,2nd
GBR,9246,Michael Sims,Carl Gibson,Burton SC,7,3,3,5,3,4,[10],6,[11],2,,54,33,3rd
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Pond SC / Hayling Island SC,1,10,1,4,10,2,6,[18],8,[11],,71,42,4th
GBR,9253,Nathan Batchelor,Chris Turner,Tynemouth SC,4,2,[9],9,9,5,1,5,[10],9,Ovington Boats,63,44,5th
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,[10],7,[10],6,4,8,5,1,7,6,Ad Blue ++,64,44,6th
GBR,8935,David Ellis,Jim Hunt,Lymington Town SC,[27 RET],[27 DNC],13,11,8,3,8,2,5,1,,105,51,7th
AUS,9263,Michael Quirk,Cameron McDonald,CVCB,[12],8,4,10,2,6,[16],12,9,7,,86,58,8th
GBR,9177,Tom Jeffcoate,Tim Hartley,Chew Valley Sc & Draycote SC,5,4,8,[17],[18],13,4,11,3,12,,95,60,9th
GBR,9238,David Wade,Norman Byrd,Northampton SC & Draycote SC,6,5,6,[15],11,9,11,7,[14],10,P&B,94,65,10th
FRA,9147,Herve de Kergariou,Ludovic Roblin,Yacht club ile de France,[16],14,15,14,[19],14,9,4,4,3,Bonnie and Clyde,112,77,11th
CAN,9207,Robert Tennant,Rob Woelfel,RVicYC,9,13,11,7,13,[16],7,10,12,[14],,112,82,12th
GBR,9228,Craig Thompson,Adam Wolnikowski,,11,[17],12,3,7,12,15,[22],15,13,,127,88,13th
GBR,9085,Charlie Walters,Dougal Cram,Datchet Water SC,[27 DNC],[27 DNC],14,12,12,15,14,14,6,4,Who's The Daddy?,145,91,14th
GBR,9093,Terry Scutcher,Harry Briddon,Ogston SC,14,16,16,8,6,[20],[20],8,13,15,,136,96,15th
GBR,9214,Andy Smith,Christian Diebitsch,RYC,17,9,7,13,15,18,12.05.2024,9,[27 DNC],[27 DNC],505 Shades of Grey,"154,5","100,5",16th
USA,9247,Mike G Punnett,John Ironmonger,PCYC,8,11,18,16,16,10,17,13,[27 DNC],[27 DNC],Carole's Boat,163,109,17th
GBR,8881,Charlie Chandler,Owen Mills,Tewkesbury Cruising & Sailing Club,13,15,17,18,14,19,12.05.2024,15,[27 DNC],[27 DNC],,"177,5","123,5",18th
GBR,9261,Martin Wedge,Graham Elliot,,[19],18,[19],19,17,11,18,17,16,16,Eric,170,132,19th
GBR,9125,Roger Deane,Jonathan Ward,RSWSC & Ogston SC,20,20,[22],21,[27 RET],22,22,20,17,17,Rock Beat 11,208,159,20th
USA,9179,Pierre Jeangirard,Chris Pittack,PCYC,15,12,[27 RET],20,[27 DNC],21,21,21,27 DNC,27 DNC,,218,164,21st
GBR,8925,Ben McLaughlin,Joseph Hotchkiss,Clevedon SC,22,22,20,[23],21,[27 DNC],23,23,18,18,,217,167,22nd
GBR,9168,Miles Odell,Max Odell,Northampton SC & Hayling Island SC,18,21,[27 RET],[27 DNC],27 DNC,17,19,19,27 DNC,27 DNC,,229,175,23rd
GBR,8970,Mike Partridge,Douglas White,HISC,23,[27 RET],21,22,20,[27 DNC],27 DNC,27 DNC,27 DNC,27 DNC,,248,194,24th
GBR,9157,Chris White,Rory Odell,Northampton SC,21,19,23,[27 RET],[27 DNC],27 DNC,27 DNC,27 DNC,27 DNC,27 DNC,,252,198,25th
GBR,7378,Gary Fowler,Sam Fowler,Hunts SC,[27 DNC],[27 DNC],27 DNC,27 DNC,27 DNC,27 DNC,27 DNC,27 DNC,27 DNC,27 DNC,Super G and Sam the Man,270,216,26th
