Country,SailNo,HelmName,CrewName,Club,R1 11/05/2024  ,R2 11/05/2024  ,R3 11/05/2024  ,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ian Mitchell,Hayling Island/ Frensham Ponds,1,1,1,3,3,1st
GBR,9158,Duncan Barr,Scott Dawson,Netley,2,3,3,8,8,2nd
GBR,9246,Michael Sims,Carl Gibbon,Carsington,3,2,4,9,9,3rd
GBR,8881,Charlie Chandler,Owen Mills,Tewkesbury Sailing Club,4,4,2,10,10,4th
GBR,8991,Nick Meadow,James Read,,5,7,6,18,18,5th
GBR,9168,Miles Odell,Max Odell,Northampton/Hayling,6,9,5,20,20,6th
GBR,8685,Gareth Caldwell,Tyler Harmsworth,Shoreham,7,5,9,21,21,7th
GBR,9177,Stephen Graham,Tim Hartley,Draycote,8,6,10,24,24,8th
GBR,8511,Steve Culpitt,Mark Nicholson,HISC,9,8,8,25,25,9th
GBR,9157,Chris White,Rory Odell,Northampton,10,12 DNC,7,29,29,10th
GBR,8970,Mike Partridge,Jez White,HISC,11,10,11,32,32,11th
