,,Licences,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,points,place
FRA,9220,Boite Philippe,Fountaine Mathieu,CVSQ,1,2,1,2,1,1,1,1,1,7,1
FRA,8847,Le Morvan Bastian,Gougeon Matthieu,S N LARMOR PLAGE,4,1,6,1,5,4,2,2,3,17,2
FRA,8870,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,2,8,4,7,2,3,6,8,2,26,3
FRA,9219,Neidhart Elisabeth,De Monteil David,Y C ILE DE FRANCE,10,5,5,3,7,2,3,5,6,29,4
SUI,9060,Houriet Catherine,Donze Gil,CRG SUI,3,4,2,13,9,DNF,7,3,11,39,5
FRA,8729,Lafortune Jordane,Broise Xavier,C V SEINE-PORT,8,3,3,8,8,7,5,9,7,41,6
FRA,9031,Lucienne Philippe,Lucienne Vivien,S.R.C Sud-Oise,12,10,9,9,4,DNF,4,6,4,46,7
FRA,8869,Boyer Etienne,Boyer Emmanuel,LA PELLE-MARSEILLE,5,12,8,4,DNF,DNF,10,4,5,48,8
FRA,9218,Commeil Bertrand,Commeil Paul,Y C CARNAC,7,6,11,12,6,5,8,10,DNF,53,9
FRA,8895,Michel Nicolas,Michel Laurent,C V A N NANTES,9,9,RET,6,3,DNF,9,12,9,57,10
FRA,8900,Gubri Serge,Camusson Laurent,C V SEINE-PORT,13,7,7,10,10,6,12,11,8,59,11
FRA,9164,Dechauffour Jacques,Dechauffour Sabine,ASN QUIBERON,6,13,10,5,DNF,DNF,11,7,10,62,12
FRA,9050,Quemard Eric,Victor Antoine,Y C ILE DE FRANCE,11,11,12,11,11,8,13,13,12,76,13
FRA,8980,Teyssier Maurice,Teyssier David,C V SANGUINET,DNF,DNF,DNC,14,DNF,DNF,14,14,13,100,14
