Boat,Helm,Crew,club,R1,R2,R3,R4,R5,R6,R7,points, place
FRA 0,Philippe Boite,Mathieu Fountaine,CVSQ,1,4*,2,2,3,1,1,10,1
SUI 9147,Caroline Jacot,Philippe Jacot,,9*,1,7,4,2,4,2,20,2
GBR 9214,Andy Smith,Christian Deibitch,,6*,5,4,3,1,2,5,20,3
AUS 0,Michael Quirk,Tim Needham,,2,3,6,1,DSQ*,9,7,28,4
FRA 0,Gilles Chapelin,Alain Karadjian,C V BORDEAUX C M,BFD*,6,1,6,5,3,9,30,5
FRA 0,Serge Gubri,Maxime Le Goff,C V SEINE-PORT,4,7,3,7,11,10,15*,42,6
FRA 0,Aline Martin,Henry Chevet,Y C ILE DE FRANCE,18*,8,10,8,7,7,3,43,7
FRA 0,Thibault Di Pede,Jean Gallo Pierre,C V SEINE-PORT,5,9,8,19*,10,12,4,48,8
FRA 0,Xavier Broise,Nicolas Des Jamonieres,S N P H,3,13,14,11,15,5,6,52,9
GBR  9178,Chris Lewns,Jack Kilburn,,13,17,9,5,4,14,BFD*,62,10
FRA 0,Etienne Boyer,Emmanuel Boyer,LA PELLE-MARSEILLE,16,12,5,13,6,15,17*,67,11
FRA 0,Loic Bleuez,Bastian Le Morvan,Y C CANNES,7,14,11,20,21*,8,8,68,12
BEL 0,Bas Van Assche,Toon Van Assche,,8,11,13,9,9,23*,21,71,13
FRA 0,Philippe Lucienne,Vivien Lucienne,S.R.C Sud-Oise,14,2,18,23*,18,16,16,84,14
FRA 9150,Herve De Kergariou,Tristan Le Jeune,CN ARRADON,10,18,15,22,12,29*,12,89,15
FRA 9219,Elisabeth Neidhart,David De Monteil,Y C ILE DE FRANCE,22,20,24*,15,8,11,22,98,16
FRA 0,Francois De Lisle,Bertrand Lapeyre,C N FERRET,11,15,28*,21,13,13,28,101,17
SUI 0,Toni Utiger,Markus Heilig,,24*,22,21,12,14,19,18,106,18
FRA 0,Laurent Michel,Nicolas Michel,C V A N NANTES,12,DNS*,27,14,19,28,11,111,19
FRA 0,Ian Brown,Christophe Favreau,,21,19,26,31*,16,6,24,112,20
FRA 0,Philippe Blanchard,Florent Duplouy,A C D'ALSACE LORRAIN,27*,10,12,25,20,27,19,113,21
SUI 9060,Catherine Houriet,Gil Donze,,20,25*,19,27,17,25,10,116,22
FRA 9164,Jacques Dechauffour,Sabine Dechauffour,ASN QUIBERON,25,21,16,16,23,18,29*,119,23
FRA 0,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,29*,16,22,17,28,17,23,123,24
BEL 0,Casper Bel Martens,Lien Van Assche,,28*,23,23,26,25,20,13,130,25
FRA 0,Riwanon Le Roy,Claude Ancelot Jean,ASN QUIBERON,DNC*,DNC,17,10,22,30,14,132,26
FRA 0,Thibault Morel,Matthieu Morel,C V JULLOUVILLE,15,DNC*,25,24,26,26,20,136,27
FRA 0,Eric Quemard,Antoine Victor,Y C ILE DE FRANCE,19,28,20,33*,27,21,26,141,28
FRA 0,Jordane Lafortune,Matthieu Gougeon,C V SEINE-PORT,17,24,31*,29,32,24,25,150,29
FRA 8676,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,32,31,30,18,24,22,33*,157,30
FRA 0,Eric Vassor,Yves Chene Pierre,BREST BRETAGNE NAUTI,26,29,32,28,29,33*,30,174,31
FRA 0,Marine Delagrange,Antoine Delagrange,C V SEINE-PORT,23,30,35*,34,30,31,27,175,32
BEL 0,Phil Bel Vandersteen,Theo Geeraerts,,BFD*,33,33,32,31,32,31,192,33
FRA 0,Philippe Dubuc,Mathieu Devaux,Y C ST LUNAIRE,30,27,29,30,DNS*,DNC,DNC,194,34
FRA 0,Francois Dervieux Jean,Denis Morel,C V JULLOUVILLE,31,26,36,DNF*,DNS,37,36,205,35
FRA 0,Robert Fischer,Pierre Noclain Jean,C N LORIENT,DNC*,DNC,34,35,33,34,32,207,36
FRA 0,Jean-Luc Stalens,Florence Gentis,B N ILE GRANDE,DNF*,32,37,36,DNS,35,34,213,37
FRA 0,Claude Loiseau Jean,Aurélien Sosson,SR DOUARNENEZ,33,34,38,DNF*,DNS,36,35,215,38
