Boat No.,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Disc,Total,Pos.,
AUS,7738,Gary Bruniges,Greg Gardiner,,2,2,2,2,2,6,26.7,12.7,15,1
AUS,7827,Dean Blatchford,Tom Woods,,1,1,3,10,5,14,51.7,20,31.7,2
AUS,7589,Peter Colelough,Harold Barnes,,5,12,17,6,1,1,62.7,23,39.7,3
AUS,7740,Terry Kyrwood,Reg Crick,,13,6,4,1,9,5,63.7,19,44.7,4
USA,7611,Jim Wondolleck,Jay Kuncl,,3,3,1,DSQ,13,12,110.4,62,48.4,5
USA,7358,J. B. Braun,Bill Kenney,,4,5,6,5,7,16,74.7,22,52.7,6
AUS,7535,Peter Hewson,Alyn Ovenden,,9,4,10,3,19,7,82.7,25,57.7,7
AUS,7336,Leigh Winter,Stephen Kay,,7,7,7,7,11,4,77,17,60,8
USA,7152,Howard Hamlin,Tom Poore,,8,9,5,4,8,10,77,16,61,9
JAP,6999,Aiko Saito,Shiro Noguchi,,14,16,23,9,12,3,109.7,29,80.7,10
SWE,7716,Niklaus Philipson,Lars Stugemo,,15,11,8,17,6,26,118.7,32,87.7,11
DEN,1,Paul Elvstrom,Jorgen Mellerup,,12,17,13,16,3,41,134.7,47,88,12
SWE,7591,Ebbe Rosen,Olle Wenrup,,RET,14,15,8,10,11,150,62,88,13
DEN,7820,Jorgen Holm,Finn Jensen,,10,8,26,13,18,13,124,32,92,14
AUS,7669,Chris Lewis,Andy Grey,,6,13,16,DSQ,14,18,158.7,62,96,15
AUS,7739,Graham Engert,Stephen lanna,,11,10,24,11,16,33,141,39,102,16
USA,7607,Jeff Miller,Bob Wondolleck,,RET,15,9,18,23,9,166,62,104,17
AUS,7486,Peter Holmes,Peter Jackson,,18,RET,19,21,4,17,169,62,107,18
FRA,7501,Herve Wattine,Louis Michel Ces,,RET,18,11,29,24,8,182,62,120,19
AUS,7043,John Hayward,Tony Outteridge,,20,20,33,12,22,24,167,39,128,20
JAP,7843,Ryo Komiya,Toru Kikuchi,,25,27,12,32,15,20,167,38,129,21
HKG,7480,Eric Lockeyear,John Labbett,,16,30,39,20,21,15,177,45,132,22
USA,6991,Chris Klein,Bruce Heimann,,17,26,18,19,25,27,168,33,135,23
AUS,7828,Richard Gallimore,Peter Drinkwater,,DNF,22,14,14,20,40,202,62,140,24
JAP,7815,Keiko Nogami,Nobuhiro Ohno,,35,31,20,38,30,2,187,44,143,25
AUS,7338,Bob Fussell,Mark Schroder,,19,19,28,27,DNS,21,206,62,144,26
AUS,7515,Greg Gilmour,Chris Pratt,,28,25,21,15,26,29,180,35,145,27
JAP,7509,Miyuki Kai,Tatsuki Kabeya,,23,23,25,26,28,34,195,40,155,28
DEN,7718,Claus Jakobsen,Kim H. Pedersen,,21,28,29,25,35,30,204,41,163,29
CAN,7613,Robin Brown,Per Jacobsen,,24,RET,22,28,37,25,228,62,166,30
JAP,7003,Kiyoshi Uzawa,Hirokazu Morimoto,,27,RET,35,24,17,38,233,62,171,31
DEN,7017,Svem. E. Molbeck,Paul Strange,,RET.,21,36,23,44,23,239,620,177,32
AUS,7737,Mike Quirk,Bob Smith,,RET,29,31,30,27,32,241,62,179,33
JAP,7331,Tetsuo Sekiguchi,Takeyoshi Morikawa,,22,24,34,34,41,43,234,49,185,34
AUS,7481,Oliver Sthien,Norman Rydge,,26,34,38,31,32,DNF,253,62,191,35
JAP,7816,Takao Fujita,Masaki Yamashita,,30,37,45,35,29,31,243,51,192,36
FRA,7710,Marcel Buffet,Serge Ehrardt,,29,32,27,33,42,52,251,58,193,37
JAP,7724,Hideo Tayama,Eiichi Taneda,,ONE,33,30,36,31,35,257,62,195,38
JAP,6516,Motoyuki Hotta,Kimiaki Miyazawa,,ONE,38,40,40,34,19,263,62,201,39
JAP,7814,Takashi Iwasaki,John Hall,,32,39,44,43,36,28,258,50,208,40
JAP,7731,Morihide Makino,Yasui Iwase,,RET,35,32,41,33,37,270,62,208,41
JAP,7725,Yoshihito Shirai,Kouji Kimata,,RET,36,37,37,39,36,277,62,215,42
USA,7605,Franklyn Thompson,Joseph Thompson,,RET,RET,RET,22,38,22,286,62,224,43
IRL,7447,Denis O'Sullivan,Yuuji Inoue,,31,40,51,39,52,39,288,58,230,44
JAP,7730,Junichi Kawabata,Yasuhiro Tominaga,,34,42,43,47,45,50,297,56,241,45
HKG,7225,Max Meyers,Geoff Chambers,,RET,41,42,42,40,48,305,62,243,46
HKG,7236,Tetsuo Sakai,Roland R. Eastham,,33,44,RET,44,54,46,313,62,251,47
JAP,6921,Shoji Kurita,Toshihiko Murayama,,DNS,43,41,45,53,44,318,62,256,48
JAP,5886,Yukihiro Saito,Kouichi Kimura,,RET,45,46,46,46,47,322,62,260,49
JAP,5933,Yasumasa Kobayashi,Shuji Watanabe,,RET,47,49,52,51,42,332,62,270,50
JAP,7723,Nozomi Fukushima,Shozou Ohno,,RET,RET,48,RET,43,45,340,62,278,51
GER,7660,Martin Kehr,Thorsten Trippler,,RET,46,50,49,50,53,340,62,278,52
JAP,7728,Yoshinoby Kato,Kunio Nichioka,,ONE,RET,47,48,49,51,343,62,281,53
KEN,7851,John Wyles,Anthony Cockayne,,RET,PMS,52,50,48,49,347,62,285,54
SIN,7841,Jeffrey Leow,Loke Yuen Kong,,DNF,DNC,DNF,51,47,54,356,62,294,55
